lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	is_randomized
earn	earned	well then after my lesson i had to wait for rachel cause people were there t try spider (rachels old horse) and then kate asked me to work her shift (3-end) wich probly earned me bout 5 dollars!!!!!!!!!!!!	14411	16	39	('well', 'then', 'after', 'my', 'lesson', 'i', 'had', 'to', 'wait', 'for', 'rachel', 'cause', 'people', 'were', 'there', 't', 'try', 'spider', '(', 'rachels', 'old', 'horse', ')', 'and', 'then', 'kate', 'asked', 'me', 'to', 'work', 'her', 'shift', '(', '3', '-', 'end', ')', 'wich', 'probly', 'earned', 'me', 'bout', '5', 'dollars', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!')	False
earn	earn	We have to earn 1000 points a day and each job that we do to help around the house is a certain amount of points.	35962	4	3	('We', 'have', 'to', 'earn', '1000', 'points', 'a', 'day', 'and', 'each', 'job', 'that', 'we', 'do', 'to', 'help', 'around', 'the', 'house', 'is', 'a', 'certain', 'amount', 'of', 'points', '.')	False
eat	ate	so we went there and went out to eat at bilbos, which is where my parents ate all the time when they were in college, and its a lord of the rings themed pizza place, they had awesome pizza.	36013	8	17	('so', 'we', 'went', 'there', 'and', 'went', 'out', 'to', 'eat', 'at', 'bilbos', ',', 'which', 'is', 'where', 'my', 'parents', 'ate', 'all', 'the', 'time', 'when', 'they', 'were', 'in', 'college', ',', 'and', 'its', 'a', 'lord', 'of', 'the', 'rings', 'themed', 'pizza', 'place', ',', 'they', 'had', 'awesome', 'pizza', '.')	False
earn	earn	Just shows you that most of the time we work hard to earn the reputations we get!	12495	7	12	('Just', 'shows', 'you', 'that', 'most', 'of', 'the', 'time', 'we', 'work', 'hard', 'to', 'earn', 'the', 'reputations', 'we', 'get', '!')	False
eat	eating	Hai~~ hope she felt better after eating bbq stuffs..	27109	15	6	('Hai~~', 'hope', 'she', 'felt', 'better', 'after', 'eating', 'bbq', 'stuffs', '..')	False
earn	earn	but i earn shit.....	19636	11	2	('but', 'i', 'earn', 'shit', '.....')	False
eat	eat	I am trying to eat like my trainer said for me to eat.	34524	1	4	('I', 'am', 'trying', 'to', 'eat', 'like', 'my', 'trainer', 'said', 'for', 'me', 'to', 'eat', '.')	False
eat	eat	and itll die im hungry but dont wanna eat is that backwards or what usually i am not hiungrey and dont wanna	35641	6	11	('and', 'it', 'll', 'die', 'i', 'm', 'hungry', 'but', 'do', 'nt', 'wanna', 'eat', 'is', 'that', 'backwards', 'or', 'what', 'usually', 'i', 'am', 'not', 'hiungrey', 'and', 'do', 'nt', 'wanna')	False
earn	earned	This earned me a couple extra tomato slices.	12102	21	1	('This', 'earned', 'me', 'a', 'couple', 'extra', 'tomato', 'slices', '.')	False
eat	eat	Jaques costeau • les mis (though in french it would be lost on me) • jean-marc gaspard itard and the wild boy of aveyron • matisse, degas, la tour, cezanne, monet, rodin, renior, to name a few • joan of arc • “let them eat cake.”	548	6	56	('Jaques', 'costeau', '•', 'les', 'mis', '(', 'though', 'in', 'french', 'it', 'would', 'be', 'lost', 'on', 'me', ')', '•', 'jean', '-', 'marc', 'gaspard', 'itard', 'and', 'the', 'wild', 'boy', 'of', 'aveyron', '•', 'matisse', ',', 'degas', ',', 'la', 'tour', ',', 'cezanne', ',', 'monet', ',', 'rodin', ',', 'renior', ',', 'to', 'name', 'a', 'few', '•', 'joan', 'of', 'arc', '•', '“', 'let', 'them', 'eat', 'cake', '.', '”')	False
eat	eat	Work, eat, sleep, repeat.	38673	19	2	('Work', ',', 'eat', ',', 'sleep', ',', 'repeat', '.')	False
earn	earned	Working, earning money, going through girls, enjoying his freedom and own hard-earned money.	22178	41	16	('Working', ',', 'earning', 'money', ',', 'going', 'through', 'girls', ',', 'enjoying', 'his', 'freedom', 'and', 'own', 'hard', '-', 'earned', 'money', '.')	False
eat	ate	i have really bad cramps and am really pmsy, so im going to go eat (even though i just ate like six pieces of pizza, four breadsticks, a salad, and three cinnamon rolls...	33013	16	22	('i', 'have', 'really', 'bad', 'cramps', 'and', 'am', 'really', 'pmsy', ',', 'so', 'i', 'm', 'going', 'to', 'go', 'eat', '(', 'even', 'though', 'i', 'just', 'ate', 'like', 'six', 'pieces', 'of', 'pizza', ',', 'four', 'breadsticks', ',', 'a', 'salad', ',', 'and', 'three', 'cinnamon', 'rolls', '...')	False
eat	eating	it was fun, except that i had horrible stomach pains, seriously, since we've stopped eating like rich foods, when i eat something semi rich or oily, my stomach is not happy.	37000	4	18	"('it', 'was', 'fun', ',', 'except', 'that', 'i', 'had', 'horrible', 'stomach', 'pains', ',', 'seriously', ',', 'since', 'we', ""'ve"", 'stopped', 'eating', 'like', 'rich', 'foods', ',', 'when', 'i', 'eat', 'something', 'semi', 'rich', 'or', 'oily', ',', 'my', 'stomach', 'is', 'not', 'happy', '.')"	False
earn	earn	I:  1.  want to move to a better neighborhood; 2.  have been spinning theories about who stole our credit card and who broke into our garage, and it is someone i know; 3.  have been feeling guilty about traveling so much because i have these testosterone driven (and illogical) notions that if i were home, mrs. duf would be safer.   4.  have been thinking about getting a home security system; and  5.  have been re-examining the propriety of traveling so much and questioning the balance between providing for my family in a job i love (making a good living) and being home more often (even if it means that i earn less money).	7373	13	138	('I', ':', ' ', '1', '.', ' ', 'want', 'to', 'move', 'to', 'a', 'better', 'neighborhood', ';', '2', '.', ' ', 'have', 'been', 'spinning', 'theories', 'about', 'who', 'stole', 'our', 'credit', 'card', 'and', 'who', 'broke', 'into', 'our', 'garage', ',', 'and', 'it', 'is', 'someone', 'i', 'know', ';', '3', '.', ' ', 'have', 'been', 'feeling', 'guilty', 'about', 'traveling', 'so', 'much', 'because', 'i', 'have', 'these', 'testosterone', 'driven', '(', 'and', 'illogical', ')', 'notions', 'that', 'if', 'i', 'were', 'home', ',', 'mrs', '.', 'duf', 'would', 'be', 'safer', '.', '  ', '4', '.', ' ', 'have', 'been', 'thinking', 'about', 'getting', 'a', 'home', 'security', 'system', ';', 'and', ' ', '5', '.', ' ', 'have', 'been', 're', '-', 'examining', 'the', 'propriety', 'of', 'traveling', 'so', 'much', 'and', 'questioning', 'the', 'balance', 'between', 'providing', 'for', 'my', 'family', 'in', 'a', 'job', 'i', 'love', '(', 'making', 'a', 'good', 'living', ')', 'and', 'being', 'home', 'more', 'often', '(', 'even', 'if', 'it', 'means', 'that', 'i', 'earn', 'less', 'money', ')', '.')	False
eat	ate	we also watched 13 going on 30 and ate spicy cheese nachos.	24128	2	8	('we', 'also', 'watched', '13', 'going', 'on', '30', 'and', 'ate', 'spicy', 'cheese', 'nachos', '.')	False
eat	eat	but my friend shirley convinced me to eat one	36973	40	7	('but', 'my', 'friend', 'shirley', 'convinced', 'me', 'to', 'eat', 'one')	False
earn	earned	I know of a company that earned over 10 million dollars in the bank in about 3 years, turned around and spent it on a business acquisition that everyone thought was stupid (including some high level managers that had been to the place) and ended up losing about 3 million dollars on top of that trying to turn the place around and 'make it profitable'.	17736	24	6	"('I', 'know', 'of', 'a', 'company', 'that', 'earned', 'over', '10', 'million', 'dollars', 'in', 'the', 'bank', 'in', 'about', '3', 'years', ',', 'turned', 'around', 'and', 'spent', 'it', 'on', 'a', 'business', 'acquisition', 'that', 'everyone', 'thought', 'was', 'stupid', '(', 'including', 'some', 'high', 'level', 'managers', 'that', 'had', 'been', 'to', 'the', 'place', ')', 'and', 'ended', 'up', 'losing', 'about', '3', 'million', 'dollars', 'on', 'top', 'of', 'that', 'trying', 'to', 'turn', 'the', 'place', 'around', 'and', ""'"", 'make', 'it', 'profitable', ""'"", '.')"	False
earn	earn	If this is disappointing - you are a low ca, high freedom, high detail kind of person - just remember there are lots of less stressful ways to earn a living!	35652	18	30	('If', 'this', 'is', 'disappointing', '-', 'you', 'are', 'a', 'low', 'ca', ',', 'high', 'freedom', ',', 'high', 'detail', 'kind', 'of', 'person', '-', 'just', 'remember', 'there', 'are', 'lots', 'of', 'less', 'stressful', 'ways', 'to', 'earn', 'a', 'living', '!')	False
eat	eat	Rushed to the canteen at the last 10min to grab something to eat.	30261	16	12	('Rushed', 'to', 'the', 'canteen', 'at', 'the', 'last', '10min', 'to', 'grab', 'something', 'to', 'eat', '.')	False
eat	ate	We went to fisherman's whart together that evening and ate crab ($14 for a the biggest one, but a little undercooked), then shared a banana split romantically in ghirardelli square, then off to half moon bay.	37587	3	10	"('We', 'went', 'to', 'fisherman', ""'s"", 'whart', 'together', 'that', 'evening', 'and', 'ate', 'crab', '(', '$', '14', 'for', 'a', 'the', 'biggest', 'one', ',', 'but', 'a', 'little', 'undercooked', ')', ',', 'then', 'shared', 'a', 'banana', 'split', 'romantically', 'in', 'ghirardelli', 'square', ',', 'then', 'off', 'to', 'half', 'moon', 'bay', '.')"	False
earn	earned	I won two 31 games which earned me about ten dollars in change.	15114	121	6	('I', 'won', 'two', '31', 'games', 'which', 'earned', 'me', 'about', 'ten', 'dollars', 'in', 'change', '.')	False
eat	eating	we went to peony's just because we didnt feel like walking around chinatown and end up eating at some little dirty restaurant.	36913	7	18	"('we', 'went', 'to', 'peony', ""'s"", 'just', 'because', 'we', 'did', 'nt', 'feel', 'like', 'walking', 'around', 'chinatown', 'and', 'end', 'up', 'eating', 'at', 'some', 'little', 'dirty', 'restaurant', '.')"	False
eat	ate	After the food was finished we ate in haste knowing that the fireworks would begin soon.	19558	20	6	('After', 'the', 'food', 'was', 'finished', 'we', 'ate', 'in', 'haste', 'knowing', 'that', 'the', 'fireworks', 'would', 'begin', 'soon', '.')	False
earn	earned	So i bought his most recent album as well as one which earned him a grammy almost ten years back.	25998	4	12	('So', 'i', 'bought', 'his', 'most', 'recent', 'album', 'as', 'well', 'as', 'one', 'which', 'earned', 'him', 'a', 'grammy', 'almost', 'ten', 'years', 'back', '.')	False
eat	ate	I wasn't dating the missus just yet; i think i attended a house party in del ray, alexandria, ate a lot of watermelon and drank even more beer (11 to be exact) then went home and threw it all up.	29771	20	22	"('I', 'was', ""n't"", 'dating', 'the', 'missus', 'just', 'yet', ';', 'i', 'think', 'i', 'attended', 'a', 'house', 'party', 'in', 'del', 'ray', ',', 'alexandria', ',', 'ate', 'a', 'lot', 'of', 'watermelon', 'and', 'drank', 'even', 'more', 'beer', '(', '11', 'to', 'be', 'exact', ')', 'then', 'went', 'home', 'and', 'threw', 'it', 'all', 'up', '.')"	False
eat	eating	Who wants to huddle together underground eating canned spam?	2	15	6	('Who', 'wants', 'to', 'huddle', 'together', 'underground', 'eating', 'canned', 'spam', '?')	False
earn	earn	Nah, i'd rather earn it!	17865	42	5	"('Nah', ',', 'i', ""'d"", 'rather', 'earn', 'it', '!')"	False
earn	earns	I think it's a great way of getting people to do chores because then each of us kids earns our equal amount of points and no one can fight over who did more work.	35962	8	19	"('I', 'think', 'it', ""'s"", 'a', 'great', 'way', 'of', 'getting', 'people', 'to', 'do', 'chores', 'because', 'then', 'each', 'of', 'us', 'kids', 'earns', 'our', 'equal', 'amount', 'of', 'points', 'and', 'no', 'one', 'can', 'fight', 'over', 'who', 'did', 'more', 'work', '.')"	False
earn	earned	School is nothing but an absolute regime created by a totalitarian government to hold down the people and collect your hard earned allowance to squander on weapons and cannons and stuff!	31382	19	21	('School', 'is', 'nothing', 'but', 'an', 'absolute', 'regime', 'created', 'by', 'a', 'totalitarian', 'government', 'to', 'hold', 'down', 'the', 'people', 'and', 'collect', 'your', 'hard', 'earned', 'allowance', 'to', 'squander', 'on', 'weapons', 'and', 'cannons', 'and', 'stuff', '!')	False
eat	ate	Mainly because i was a very foolish girl last night and ate a whole packet of chocolate fudge crunch creams.	14206	1	11	('Mainly', 'because', 'i', 'was', 'a', 'very', 'foolish', 'girl', 'last', 'night', 'and', 'ate', 'a', 'whole', 'packet', 'of', 'chocolate', 'fudge', 'crunch', 'creams', '.')	False
earn	earn	Now, i don't trust people until they earn it.	15888	13	9	"('Now', ',', 'i', 'do', ""n't"", 'trust', 'people', 'until', 'they', 'earn', 'it', '.')"	False
earn	earned	And she can't be convicted she's earned her degree	11081	22	8	"('And', 'she', 'ca', ""n't"", 'be', 'convicted', 'she', ""'s"", 'earned', 'her', 'degree')"	False
eat	eats	My parents are not used to raw fish because no one eats that in wisconsin (unless its pickled herring on a ritz).	6969	12	11	('My', 'parents', 'are', 'not', 'used', 'to', 'raw', 'fish', 'because', 'no', 'one', 'eats', 'that', 'in', 'wisconsin', '(', 'unless', 'its', 'pickled', 'herring', 'on', 'a', 'ritz', ')', '.')	False
earn	earned	hope you enjoy yr hard earned cash working...	14058	8	5	('hope', 'you', 'enjoy', 'yr', 'hard', 'earned', 'cash', 'working', '...')	False
eat	ate	Everybody drank and ate.	21706	7	3	('Everybody', 'drank', 'and', 'ate', '.')	False
eat	eat	So, yeah, a beer cozy:    that was pretty dorky, but it  did  inspire a little thing i consider to be pure genius:   (don't pretend you don't eat it out of the pint!)	1175	19	38	"('So', ',', 'yeah', ',', 'a', 'beer', 'cozy', ':', '   ', 'that', 'was', 'pretty', 'dorky', ',', 'but', 'it', ' ', 'did', ' ', 'inspire', 'a', 'little', 'thing', 'i', 'consider', 'to', 'be', 'pure', 'genius', ':', '  ', '(', 'do', ""n't"", 'pretend', 'you', 'do', ""n't"", 'eat', 'it', 'out', 'of', 'the', 'pint', '!', ')')"	False
eat	ate	but we ate it..	16853	35	2	('but', 'we', 'ate', 'it', '..')	False
earn	earns	Stoner is warm on #3, so she earns a 'good guess' award.	6652	1	9	"('Stoner', 'is', 'warm', 'on', '#', '3', ',', 'so', 'she', 'earns', 'a', ""'"", 'good', 'guess', ""'"", 'award', '.')"	False
earn	earn	On sunday, i'll be going to gamble and hopefully earn some money to put them in my new piggy bank.	21870	18	11	"('On', 'sunday', ',', 'i', ""'ll"", 'be', 'going', 'to', 'gamble', 'and', 'hopefully', 'earn', 'some', 'money', 'to', 'put', 'them', 'in', 'my', 'new', 'piggy', 'bank', '.')"	False
earn	earn	But like i told b, i need to earn my stripes.	22083	10	9	('But', 'like', 'i', 'told', 'b', ',', 'i', 'need', 'to', 'earn', 'my', 'stripes', '.')	False
earn	earned	Who at the top looks down at their vast earnings and turns a blind eye to those that earned it for them?	17736	26	18	('Who', 'at', 'the', 'top', 'looks', 'down', 'at', 'their', 'vast', 'earnings', 'and', 'turns', 'a', 'blind', 'eye', 'to', 'those', 'that', 'earned', 'it', 'for', 'them', '?')	False
eat	eat	Growing boys need to eat.	25862	15	4	('Growing', 'boys', 'need', 'to', 'eat', '.')	False
eat	eating	Like when you start taking a bite of chocolate, you just can't stop eating it till the last bite.	10758	79	15	"('Like', 'when', 'you', 'start', 'taking', 'a', 'bite', 'of', 'chocolate', ',', 'you', 'just', 'ca', ""n't"", 'stop', 'eating', 'it', 'till', 'the', 'last', 'bite', '.')"	False
eat	eat	Then you peel off/down the shell as you eat.	4082	42	10	('Then', 'you', 'peel', 'off', '/', 'down', 'the', 'shell', 'as', 'you', 'eat', '.')	False
earn	earned	It feels good to have narrowly escaped a pillaging from some bastard grease-monkey out to get his filthy hands on my hard-earned cash.	25523	18	25	('It', 'feels', 'good', 'to', 'have', 'narrowly', 'escaped', 'a', 'pillaging', 'from', 'some', 'bastard', 'grease', '-', 'monkey', 'out', 'to', 'get', 'his', 'filthy', 'hands', 'on', 'my', 'hard', '-', 'earned', 'cash', '.')	False
earn	earned	Jericho appeared to have earned a count-out victory early on, but a resentful raw general manager had different ideas.	13307	18	4	('Jericho', 'appeared', 'to', 'have', 'earned', 'a', 'count', '-', 'out', 'victory', 'early', 'on', ',', 'but', 'a', 'resentful', 'raw', 'general', 'manager', 'had', 'different', 'ideas', '.')	False
eat	ate	But we did have good times; we ate lots of  urllink food , had drinks, watched a hilarious  urllink movie , took a walk at the  urllink albany bulb , tasted some  urllink sake  and tried our best at a  urllink pub quiz .	16717	4	8	('But', 'we', 'did', 'have', 'good', 'times', ';', 'we', 'ate', 'lots', 'of', ' ', 'urllink', 'food', ',', 'had', 'drinks', ',', 'watched', 'a', 'hilarious', ' ', 'urllink', 'movie', ',', 'took', 'a', 'walk', 'at', 'the', ' ', 'urllink', 'albany', 'bulb', ',', 'tasted', 'some', ' ', 'urllink', 'sake', ' ', 'and', 'tried', 'our', 'best', 'at', 'a', ' ', 'urllink', 'pub', 'quiz', '.')	False
eat	eating	the need for human flesh and blood...and now there's no way back.....suicide just doesn't work....eating other people makes you stronger.....strong enough not to die...and now i have to live with this....without having the strength to control myself..to end this up....because it moves me...it controls me...	1237	78	22	"('the', 'need', 'for', 'human', 'flesh', 'and', 'blood', '...', 'and', 'now', 'there', ""'s"", 'no', 'way', 'back', '.....', 'suicide', 'just', 'does', ""n't"", 'work', '....', 'eating', 'other', 'people', 'makes', 'you', 'stronger', '.....', 'strong', 'enough', 'not', 'to', 'die', '...', 'and', 'now', 'i', 'have', 'to', 'live', 'with', 'this', '....', 'without', 'having', 'the', 'strength', 'to', 'control', 'myself', '..', 'to', 'end', 'this', 'up', '....', 'because', 'it', 'moves', 'me', '...', 'it', 'controls', 'me', '...')"	False
earn	earn	We would *earn* the helmet.	12759	28	3	('We', 'would', '*', 'earn', '*', 'the', 'helmet', '.')	False
earn	earned	Anyhow my mp3 player finally ran out of battery as i gave myself a blasting on my way home from a well earned bit of frisbee, well earned meaning after all that lazing around i deserved something to do.	30002	2	28	('Anyhow', 'my', 'mp3', 'player', 'finally', 'ran', 'out', 'of', 'battery', 'as', 'i', 'gave', 'myself', 'a', 'blasting', 'on', 'my', 'way', 'home', 'from', 'a', 'well', 'earned', 'bit', 'of', 'frisbee', ',', 'well', 'earned', 'meaning', 'after', 'all', 'that', 'lazing', 'around', 'i', 'deserved', 'something', 'to', 'do', '.')	False
eat	ate	It was pretty cool cause we ate watermelon and it was good.	33250	4	6	('It', 'was', 'pretty', 'cool', 'cause', 'we', 'ate', 'watermelon', 'and', 'it', 'was', 'good', '.')	False
eat	eats	Anyway, i finished  the song of the lark  several days ago, and right now i'm reading  eats, shoots, and leaves  by lynne truss.	16089	2	22	"('Anyway', ',', 'i', 'finished', ' ', 'the', 'song', 'of', 'the', 'lark', ' ', 'several', 'days', 'ago', ',', 'and', 'right', 'now', 'i', ""'m"", 'reading', ' ', 'eats', ',', 'shoots', ',', 'and', 'leaves', ' ', 'by', 'lynne', 'truss', '.')"	False
eat	eat	I'll eat my words.	17934	99	2	"('I', ""'ll"", 'eat', 'my', 'words', '.')"	False
eat	eat	What to eat,  urllink what to eat ....	28788	15	2	('What', 'to', 'eat', ',', ' ', 'urllink', 'what', 'to', 'eat', '....')	False
eat	eat	I don't know what to say about this dessert, it was so rich i could only eat a few bites.	25369	28	18	"('I', 'do', ""n't"", 'know', 'what', 'to', 'say', 'about', 'this', 'dessert', ',', 'it', 'was', 'so', 'rich', 'i', 'could', 'only', 'eat', 'a', 'few', 'bites', '.')"	False
earn	earning	i hope my aunts and uncles are earning more money, and not losing more hair.	24002	22	7	('i', 'hope', 'my', 'aunts', 'and', 'uncles', 'are', 'earning', 'more', 'money', ',', 'and', 'not', 'losing', 'more', 'hair', '.')	False
eat	ate	In her own words:  ' ate lengy, it's okay to feel.'	15575	10	7	"('In', 'her', 'own', 'words', ':', ' ', ""'"", 'ate', 'lengy', ',', 'it', ""'s"", 'okay', 'to', 'feel', '.', ""'"")"	False
eat	eat	on the newlyweds, jessica simpson declared that she won't eat buffalo wings cuz she doesn't eat buffalo.	24025	6	11	"('on', 'the', 'newlyweds', ',', 'jessica', 'simpson', 'declared', 'that', 'she', 'wo', ""n't"", 'eat', 'buffalo', 'wings', 'cuz', 'she', 'does', ""n't"", 'eat', 'buffalo', '.')"	False
eat	eat	Ever since starting to go to the gym (and quitting smoking) i've had an incredible urge to eat a shitload.	16281	4	20	"('Ever', 'since', 'starting', 'to', 'go', 'to', 'the', 'gym', '(', 'and', 'quitting', 'smoking', ')', 'i', ""'ve"", 'had', 'an', 'incredible', 'urge', 'to', 'eat', 'a', 'shitload', '.')"	False
earn	earn	But actions in this life earn consequences in this life.	12488	8	5	('But', 'actions', 'in', 'this', 'life', 'earn', 'consequences', 'in', 'this', 'life', '.')	False
eat	eats	Ewwww, who eats that, us!!	22552	9	3	('Ewwww', ',', 'who', 'eats', 'that', ',', 'us', '!', '!')	False
eat	eat	My brother woke me up at 12 and told me to eat.	20815	1	11	('My', 'brother', 'woke', 'me', 'up', 'at', '12', 'and', 'told', 'me', 'to', 'eat', '.')	False
earn	earned	The earthlings are going to invade and the government is spending our hard earned tax dollars on press releases and denials instead of preparing for the battle to come.'	3353	13	13	"('The', 'earthlings', 'are', 'going', 'to', 'invade', 'and', 'the', 'government', 'is', 'spending', 'our', 'hard', 'earned', 'tax', 'dollars', 'on', 'press', 'releases', 'and', 'denials', 'instead', 'of', 'preparing', 'for', 'the', 'battle', 'to', 'come', '.', ""'"")"	False
eat	eat	The winner in all this is me, who gets to eat all of this!	8739	27	11	('The', 'winner', 'in', 'all', 'this', 'is', 'me', ',', 'who', 'gets', 'to', 'eat', 'all', 'of', 'this', '!')	False
earn	earn	**hardest thing to earn** **easiest thing to lose**   ~at least two people in the world love you so much they would die for you.	18513	835	5	('*', '*', 'hardest', 'thing', 'to', 'earn', '*', '*', '*', '*', 'easiest', 'thing', 'to', 'lose', '*', '*', '  ', '~at', 'least', 'two', 'people', 'in', 'the', 'world', 'love', 'you', 'so', 'much', 'they', 'would', 'die', 'for', 'you', '.')	False
earn	earn	We tell our congregations, our family, and ourselves that god demands this perfect obedience unto his moral law/will that we might enjoy him forever and merit (yes, earn!)	17021	9	33	('We', 'tell', 'our', 'congregations', ',', 'our', 'family', ',', 'and', 'ourselves', 'that', 'god', 'demands', 'this', 'perfect', 'obedience', 'unto', 'his', 'moral', 'law', '/', 'will', 'that', 'we', 'might', 'enjoy', 'him', 'forever', 'and', 'merit', '(', 'yes', ',', 'earn', '!', ')')	False
eat	eat	(like please take some i dont want to eat much of this!)..and she looks over at my plate and is like... um, i dont think thats the fish-	37035	21	10	('(', 'like', 'please', 'take', 'some', 'i', 'do', 'nt', 'want', 'to', 'eat', 'much', 'of', 'this!)', '..', 'and', 'she', 'looks', 'over', 'at', 'my', 'plate', 'and', 'is', 'like', '...', 'um', ',', 'i', 'do', 'nt', 'think', 'that', 's', 'the', 'fish-')	False
eat	eat	But yvette likes  lengua  (tongue), and i refuse to eat anything that can taste me back.	4082	23	14	('But', 'yvette', 'likes', ' ', 'lengua', ' ', '(', 'tongue', ')', ',', 'and', 'i', 'refuse', 'to', 'eat', 'anything', 'that', 'can', 'taste', 'me', 'back', '.')	False
earn	earned	Democrats don't believe in capitalism and don't worry about taxes on earned income because they can't imagine there is any way to 'earn' money other than the teresa heinz-john kerry way.	27500	23	13	"('Democrats', 'do', ""n't"", 'believe', 'in', 'capitalism', 'and', 'do', ""n't"", 'worry', 'about', 'taxes', 'on', 'earned', 'income', 'because', 'they', 'ca', ""n't"", 'imagine', 'there', 'is', 'any', 'way', 'to', ""'"", 'earn', ""'"", 'money', 'other', 'than', 'the', 'teresa', 'heinz', '-', 'john', 'kerry', 'way', '.')"	False
eat	ate	i ate: i think that info was stored in the brain cells i lost over that past three days.	9976	6	1	('i', 'ate', ':', 'i', 'think', 'that', 'info', 'was', 'stored', 'in', 'the', 'brain', 'cells', 'i', 'lost', 'over', 'that', 'past', 'three', 'days', '.')	False
earn	earned	Before, i earned money because i want to buy stuff that i want; now money is like something that rules me because of my desire to settle down.	35357	21	3	('Before', ',', 'i', 'earned', 'money', 'because', 'i', 'want', 'to', 'buy', 'stuff', 'that', 'i', 'want', ';', 'now', 'money', 'is', 'like', 'something', 'that', 'rules', 'me', 'because', 'of', 'my', 'desire', 'to', 'settle', 'down', '.')	False
earn	earned	I supposed to remember things from a class i took a year ago that, while i earned myself a solid b+, was mostly due to memorization and pure luck.	23652	19	17	('I', 'supposed', 'to', 'remember', 'things', 'from', 'a', 'class', 'i', 'took', 'a', 'year', 'ago', 'that', ',', 'while', 'i', 'earned', 'myself', 'a', 'solid', 'b+', ',', 'was', 'mostly', 'due', 'to', 'memorization', 'and', 'pure', 'luck', '.')	False
earn	earned	I'm fed up with liberals badmouthing bush - granted   we gave clinton a firm tongue lashing ever chance we   got - but he actually earned it.	33231	0	27	"('I', ""'m"", 'fed', 'up', 'with', 'liberals', 'badmouthing', 'bush', '-', 'granted', '  ', 'we', 'gave', 'clinton', 'a', 'firm', 'tongue', 'lashing', 'ever', 'chance', 'we', '  ', 'got', '-', 'but', 'he', 'actually', 'earned', 'it', '.')"	False
earn	earned	Doesn't that diminish the value of the people who earned their doctorates?	34800	26	10	"('Does', ""n't"", 'that', 'diminish', 'the', 'value', 'of', 'the', 'people', 'who', 'earned', 'their', 'doctorates', '?')"	False
eat	eating	I ended up changing and eating with naomi and rebecca and zahir and kevin and megan and terra and hanna.	21011	52	5	('I', 'ended', 'up', 'changing', 'and', 'eating', 'with', 'naomi', 'and', 'rebecca', 'and', 'zahir', 'and', 'kevin', 'and', 'megan', 'and', 'terra', 'and', 'hanna', '.')	False
earn	earn	Let her earn that spot on my pillow, you know?	31972	36	2	('Let', 'her', 'earn', 'that', 'spot', 'on', 'my', 'pillow', ',', 'you', 'know', '?')	False
eat	eats	This is guaranteed to cause instant paralysis to whoever eats it.'	35063	48	9	"('This', 'is', 'guaranteed', 'to', 'cause', 'instant', 'paralysis', 'to', 'whoever', 'eats', 'it', '.', ""'"")"	False
eat	ate	ate wicked montreal bagels n cream cheese in the morning, and got on the road by 9am.	35795	4	0	('ate', 'wicked', 'montreal', 'bagels', 'n', 'cream', 'cheese', 'in', 'the', 'morning', ',', 'and', 'got', 'on', 'the', 'road', 'by', '9', 'am', '.')	False
eat	eat	Decline to be seated at a restaurant, and simply eat their complimentary mints by the cash register.	18512	104	10	('Decline', 'to', 'be', 'seated', 'at', 'a', 'restaurant', ',', 'and', 'simply', 'eat', 'their', 'complimentary', 'mints', 'by', 'the', 'cash', 'register', '.')	False
earn	earn	i wanna earn as much as i can earn for the time-being.	33832	16	8	('i', 'wanna', 'earn', 'as', 'much', 'as', 'i', 'can', 'earn', 'for', 'the', 'time', '-', 'being', '.')	False
earn	earned	But this weekend - i believe i've earned some sort of small claim to the title.	22305	9	8	"('But', 'this', 'weekend', '-', 'i', 'believe', 'i', ""'ve"", 'earned', 'some', 'sort', 'of', 'small', 'claim', 'to', 'the', 'title', '.')"	False
eat	ate	So we ate at the cracker barrel and they had the most amusing hangman game there.	30821	19	2	('So', 'we', 'ate', 'at', 'the', 'cracker', 'barrel', 'and', 'they', 'had', 'the', 'most', 'amusing', 'hangman', 'game', 'there', '.')	False
earn	earning	I thought that i did a great job of expressing my enthusiasm, while not earning a restraining order.	7261	10	15	('I', 'thought', 'that', 'i', 'did', 'a', 'great', 'job', 'of', 'expressing', 'my', 'enthusiasm', ',', 'while', 'not', 'earning', 'a', 'restraining', 'order', '.')	False
earn	earned	Do you think they should be raking in the dough, living a life of luxury, while you shell out your hard earned cash on items you might not purchase if you thoroughly thought about the options available.	1306	14	23	('Do', 'you', 'think', 'they', 'should', 'be', 'raking', 'in', 'the', 'dough', ',', 'living', 'a', 'life', 'of', 'luxury', ',', 'while', 'you', 'shell', 'out', 'your', 'hard', 'earned', 'cash', 'on', 'items', 'you', 'might', 'not', 'purchase', 'if', 'you', 'thoroughly', 'thought', 'about', 'the', 'options', 'available', '.')	False
eat	eat	ok am going to attempt to eat this apple- its so freaking dry for some reason and the skin is so tough!	37114	33	6	('ok', 'am', 'going', 'to', 'attempt', 'to', 'eat', 'this', 'apple-', 'its', 'so', 'freaking', 'dry', 'for', 'some', 'reason', 'and', 'the', 'skin', 'is', 'so', 'tough', '!')	False
