lemma	word form	sentence	doc index	sent index	token index	tokenized sentence	randomized indices	randomized tokenized sentence	randomized token index	is_randomized
eat	eat	Today i won't eat anything (i don't think my stomach can take it), i called in sick.	22094	9	4	"('Today', 'i', 'wo', ""n't"", 'eat', 'anything', '(', 'i', 'do', ""n't"", 'think', 'my', 'stomach', 'can', 'take', 'it', ')', ',', 'i', 'called', 'in', 'sick', '.')"	(13, 8, 6, 2, 10, 17, 9, 0, 14, 22, 19, 16, 3, 20, 12, 7, 1, 11, 15, 4, 21, 18, 5)	"('can', 'do', '(', 'wo', 'think', ',', ""n't"", 'Today', 'take', '.', 'called', ')', ""n't"", 'in', 'stomach', 'i', 'i', 'my', 'it', 'eat', 'sick', 'i', 'anything')"	19.0	True
eat	eat	but...cows and chickens don't eat people...	24073	4	7	"('but', '...', 'cows', 'and', 'chickens', 'do', ""n't"", 'eat', 'people', '...')"	(4, 1, 3, 6, 9, 2, 5, 8, 0, 7)	"('chickens', '...', 'and', ""n't"", '...', 'cows', 'do', 'people', 'but', 'eat')"	9.0	True
eat	ate	I don't think they even ate that much it was just that chinese food is so filling and seems to go through your system like a pound of baked beans.	31490	16	6	"('I', 'do', ""n't"", 'think', 'they', 'even', 'ate', 'that', 'much', 'it', 'was', 'just', 'that', 'chinese', 'food', 'is', 'so', 'filling', 'and', 'seems', 'to', 'go', 'through', 'your', 'system', 'like', 'a', 'pound', 'of', 'baked', 'beans', '.')"	(6, 3, 5, 10, 4, 19, 1, 14, 13, 24, 22, 0, 9, 25, 26, 15, 17, 27, 21, 23, 7, 28, 8, 16, 2, 29, 18, 31, 30, 20, 12, 11)	"('ate', 'think', 'even', 'was', 'they', 'seems', 'do', 'food', 'chinese', 'system', 'through', 'I', 'it', 'like', 'a', 'is', 'filling', 'pound', 'go', 'your', 'that', 'of', 'much', 'so', ""n't"", 'baked', 'and', '.', 'beans', 'to', 'that', 'just')"	0.0	True
eat	eat	you eat too much hummus.	20619	34	1	('you', 'eat', 'too', 'much', 'hummus', '.')	(4, 0, 3, 2, 5, 1)	('hummus', 'you', 'much', 'too', '.', 'eat')	5.0	True
eat	ate	Then, we ate lunch together and then watched the movie monster...( disturbing )	19600	4	3	('Then', ',', 'we', 'ate', 'lunch', 'together', 'and', 'then', 'watched', 'the', 'movie', 'monster', '...', '(', 'disturbing', ')')	(13, 2, 0, 3, 14, 4, 10, 8, 9, 15, 1, 11, 5, 12, 6, 7)	('(', 'we', 'Then', 'ate', 'disturbing', 'lunch', 'movie', 'watched', 'the', ')', ',', 'monster', 'together', '...', 'and', 'then')	3.0	True
eat	eating	It's eating my ribcage out to write this.	6097	0	2	"('It', ""'s"", 'eating', 'my', 'ribcage', 'out', 'to', 'write', 'this', '.')"	(6, 3, 7, 9, 4, 5, 1, 8, 2, 0)	"('to', 'my', 'write', '.', 'ribcage', 'out', ""'s"", 'this', 'eating', 'It')"	8.0	True
eat	eat	After we left the gym, fernand mentioned he hadn't eaten dinner yet and wanted to 'eat something sensible.'...	15577	4	18	"('After', 'we', 'left', 'the', 'gym', ',', 'fernand', 'mentioned', 'he', 'had', ""n't"", 'eaten', 'dinner', 'yet', 'and', 'wanted', 'to', ""'"", 'eat', 'something', 'sensible', '.', ""'"", '...')"	(17, 21, 18, 20, 10, 23, 4, 6, 14, 15, 11, 13, 19, 7, 3, 2, 9, 0, 12, 16, 22, 8, 5, 1)	"(""'"", '.', 'eat', 'sensible', ""n't"", '...', 'gym', 'fernand', 'and', 'wanted', 'eaten', 'yet', 'something', 'mentioned', 'the', 'left', 'had', 'After', 'dinner', 'to', ""'"", 'he', ',', 'we')"	2.0	True
eat	ate	After that, we ate and i slept for about a good two hours.	33861	17	4	('After', 'that', ',', 'we', 'ate', 'and', 'i', 'slept', 'for', 'about', 'a', 'good', 'two', 'hours', '.')	(4, 14, 13, 0, 8, 6, 12, 3, 1, 9, 7, 5, 10, 11, 2)	('ate', '.', 'hours', 'After', 'for', 'i', 'two', 'we', 'that', 'about', 'slept', 'and', 'a', 'good', ',')	0.0	True
eat	eats	No one there eats except me and another girl, i have yet to learn her name.	37345	56	3	('No', 'one', 'there', 'eats', 'except', 'me', 'and', 'another', 'girl', ',', 'i', 'have', 'yet', 'to', 'learn', 'her', 'name', '.')	(5, 4, 10, 6, 12, 3, 8, 11, 0, 7, 14, 1, 9, 2, 15, 13, 17, 16)	('me', 'except', 'i', 'and', 'yet', 'eats', 'girl', 'have', 'No', 'another', 'learn', 'one', ',', 'there', 'her', 'to', '.', 'name')	5.0	True
eat	eat	I mean i get up around noon or so, eat a bowl of cereal, get online to look at jobs.	33408	7	10	('I', 'mean', 'i', 'get', 'up', 'around', 'noon', 'or', 'so', ',', 'eat', 'a', 'bowl', 'of', 'cereal', ',', 'get', 'online', 'to', 'look', 'at', 'jobs', '.')	(20, 4, 0, 18, 3, 2, 8, 17, 19, 10, 9, 5, 6, 14, 12, 15, 7, 21, 22, 1, 11, 13, 16)	('at', 'up', 'I', 'to', 'get', 'i', 'so', 'online', 'look', 'eat', ',', 'around', 'noon', 'cereal', 'bowl', ',', 'or', 'jobs', '.', 'mean', 'a', 'of', 'get')	9.0	True
eat	eat	All i do is eat bad things and do homework.	23144	17	4	('All', 'i', 'do', 'is', 'eat', 'bad', 'things', 'and', 'do', 'homework', '.')	(10, 3, 2, 7, 5, 0, 1, 4, 6, 8, 9)	('.', 'is', 'do', 'and', 'bad', 'All', 'i', 'eat', 'things', 'do', 'homework')	7.0	True
eat	eating	I don't know how it got in, i don't know what it's eating, i don't know what the appeal of living under the couch is, and i don't want to think about the other places it's going.	26166	7	16	"('I', 'do', ""n't"", 'know', 'how', 'it', 'got', 'in', ',', 'i', 'do', ""n't"", 'know', 'what', 'it', ""'s"", 'eating', ',', 'i', 'do', ""n't"", 'know', 'what', 'the', 'appeal', 'of', 'living', 'under', 'the', 'couch', 'is', ',', 'and', 'i', 'do', ""n't"", 'want', 'to', 'think', 'about', 'the', 'other', 'places', 'it', ""'s"", 'going', '.')"	(10, 4, 19, 0, 35, 22, 14, 7, 3, 1, 2, 42, 33, 18, 29, 30, 39, 8, 32, 43, 28, 11, 5, 15, 25, 31, 44, 40, 46, 12, 21, 17, 45, 38, 34, 36, 16, 37, 27, 9, 6, 23, 26, 20, 13, 41, 24)	"('do', 'how', 'do', 'I', ""n't"", 'what', 'it', 'in', 'know', 'do', ""n't"", 'places', 'i', 'i', 'couch', 'is', 'about', ',', 'and', 'it', 'the', ""n't"", 'it', ""'s"", 'of', ',', ""'s"", 'the', '.', 'know', 'know', ',', 'going', 'think', 'do', 'want', 'eating', 'to', 'under', 'i', 'got', 'the', 'living', ""n't"", 'what', 'other', 'appeal')"	36.0	True
eat	eat	They have unlimited free breadsticks and i always eat baked ziti.	29231	22	8	('They', 'have', 'unlimited', 'free', 'breadsticks', 'and', 'i', 'always', 'eat', 'baked', 'ziti', '.')	(7, 1, 6, 4, 10, 11, 3, 2, 0, 9, 8, 5)	('always', 'have', 'i', 'breadsticks', 'ziti', '.', 'free', 'unlimited', 'They', 'baked', 'eat', 'and')	10.0	True
eat	eat	If he does in fact lose the bet, he will eat a single shot of bacon infused lime jello for every million dollars short of $15 million.	29555	3	11	('If', 'he', 'does', 'in', 'fact', 'lose', 'the', 'bet', ',', 'he', 'will', 'eat', 'a', 'single', 'shot', 'of', 'bacon', 'infused', 'lime', 'jello', 'for', 'every', 'million', 'dollars', 'short', 'of', '$', '15', 'million', '.')	(6, 3, 24, 14, 4, 5, 20, 17, 27, 23, 10, 21, 0, 15, 22, 9, 16, 18, 12, 1, 28, 25, 11, 7, 8, 26, 2, 13, 19, 29)	('the', 'in', 'short', 'shot', 'fact', 'lose', 'for', 'infused', '15', 'dollars', 'will', 'every', 'If', 'of', 'million', 'he', 'bacon', 'lime', 'a', 'he', 'million', 'of', 'eat', 'bet', ',', '$', 'does', 'single', 'jello', '.')	22.0	True
eat	ate	Then we ate.	16962	2	2	('Then', 'we', 'ate', '.')	(3, 0, 2, 1)	('.', 'Then', 'ate', 'we')	2.0	True
eat	ate	saturday morning we skipped the buffet and ate fatburger, and then gambled gambled gambled.	37123	21	7	('saturday', 'morning', 'we', 'skipped', 'the', 'buffet', 'and', 'ate', 'fatburger', ',', 'and', 'then', 'gambled', 'gambled', 'gambled', '.')	(9, 11, 7, 8, 13, 14, 12, 6, 4, 15, 2, 0, 10, 3, 5, 1)	(',', 'then', 'ate', 'fatburger', 'gambled', 'gambled', 'gambled', 'and', 'the', '.', 'we', 'saturday', 'and', 'skipped', 'buffet', 'morning')	2.0	True
eat	ate	The place we ate was really deck.	21024	5	3	('The', 'place', 'we', 'ate', 'was', 'really', 'deck', '.')	(3, 1, 2, 4, 7, 6, 5, 0)	('ate', 'place', 'we', 'was', '.', 'deck', 'really', 'The')	0.0	True
eat	eating	Whle eating roti prata, we watched the video that darius, teh fcuking great videoman, took of us jamming... 40+ mins including the video-ing of the ij chix.	10058	24	1	('Whle', 'eating', 'roti', 'prata', ',', 'we', 'watched', 'the', 'video', 'that', 'darius', ',', 'teh', 'fcuking', 'great', 'videoman', ',', 'took', 'of', 'us', 'jamming', '...', '40', '+', 'mins', 'including', 'the', 'video', '-', 'ing', 'of', 'the', 'ij', 'chix', '.')	(25, 26, 23, 28, 29, 15, 20, 7, 11, 30, 33, 4, 24, 27, 1, 10, 9, 21, 2, 32, 3, 16, 13, 5, 8, 0, 18, 12, 31, 6, 19, 14, 17, 34, 22)	('including', 'the', '+', '-', 'ing', 'videoman', 'jamming', 'the', ',', 'of', 'chix', ',', 'mins', 'video', 'eating', 'darius', 'that', '...', 'roti', 'ij', 'prata', ',', 'fcuking', 'we', 'video', 'Whle', 'of', 'teh', 'the', 'watched', 'us', 'great', 'took', '.', '40')	14.0	True
eat	eat	and itll die im hungry but dont wanna eat is that backwards or what usually i am not hiungrey and dont wanna	35641	6	11	('and', 'it', 'll', 'die', 'i', 'm', 'hungry', 'but', 'do', 'nt', 'wanna', 'eat', 'is', 'that', 'backwards', 'or', 'what', 'usually', 'i', 'am', 'not', 'hiungrey', 'and', 'do', 'nt', 'wanna')	(25, 24, 11, 20, 9, 23, 1, 4, 22, 10, 19, 13, 6, 5, 17, 16, 7, 12, 2, 8, 3, 15, 0, 18, 14, 21)	('wanna', 'nt', 'eat', 'not', 'nt', 'do', 'it', 'i', 'and', 'wanna', 'am', 'that', 'hungry', 'm', 'usually', 'what', 'but', 'is', 'll', 'do', 'die', 'or', 'and', 'i', 'backwards', 'hiungrey')	2.0	True
eat	eat	The rest of the day is spent determining how much i shouldnt eat and...	9185	42	12	('The', 'rest', 'of', 'the', 'day', 'is', 'spent', 'determining', 'how', 'much', 'i', 'shouldn\x92t', 'eat', 'and', '...')	(11, 0, 12, 13, 6, 9, 14, 4, 3, 10, 5, 7, 2, 8, 1)	('shouldn\x92t', 'The', 'eat', 'and', 'spent', 'much', '...', 'day', 'the', 'i', 'is', 'determining', 'of', 'how', 'rest')	2.0	True
eat	ate	He says he ate his first complete meal in days and cleaned his cell.	1848	268	3	('He', 'says', 'he', 'ate', 'his', 'first', 'complete', 'meal', 'in', 'days', 'and', 'cleaned', 'his', 'cell', '.')	(7, 5, 0, 1, 2, 13, 6, 8, 9, 10, 12, 4, 14, 11, 3)	('meal', 'first', 'He', 'says', 'he', 'cell', 'complete', 'in', 'days', 'and', 'his', 'his', '.', 'cleaned', 'ate')	14.0	True
eat	eating	This is a lot of pressure - i mean, i already have to stop eating meat on fridays, and then there's the whole easter vigil thing on holy saturday which is just about the longest mass in existence.	7020	3	15	"('This', 'is', 'a', 'lot', 'of', 'pressure', '-', 'i', 'mean', ',', 'i', 'already', 'have', 'to', 'stop', 'eating', 'meat', 'on', 'fridays', ',', 'and', 'then', 'there', ""'s"", 'the', 'whole', 'easter', 'vigil', 'thing', 'on', 'holy', 'saturday', 'which', 'is', 'just', 'about', 'the', 'longest', 'mass', 'in', 'existence', '.')"	(9, 3, 14, 22, 38, 29, 37, 25, 26, 33, 28, 36, 10, 19, 6, 11, 21, 32, 35, 13, 27, 1, 4, 18, 7, 12, 8, 16, 24, 41, 15, 17, 40, 20, 23, 30, 2, 34, 0, 39, 31, 5)	"(',', 'lot', 'stop', 'there', 'mass', 'on', 'longest', 'whole', 'easter', 'is', 'thing', 'the', 'i', ',', '-', 'already', 'then', 'which', 'about', 'to', 'vigil', 'is', 'of', 'fridays', 'i', 'have', 'mean', 'meat', 'the', '.', 'eating', 'on', 'existence', 'and', ""'s"", 'holy', 'a', 'just', 'This', 'in', 'saturday', 'pressure')"	30.0	True
eat	eating	I really wish i could lose but not eating this way.	29277	7	8	('I', 'really', 'wish', 'i', 'could', 'lose', 'but', 'not', 'eating', 'this', 'way', '.')	(3, 11, 0, 7, 10, 2, 4, 8, 5, 1, 9, 6)	('i', '.', 'I', 'not', 'way', 'wish', 'could', 'eating', 'lose', 'really', 'this', 'but')	7.0	True
eat	ate	He then ate a mearge breakfast of bread with nutella (a chocolate coating similar to butter).	22338	2	2	('He', 'then', 'ate', 'a', 'mearge', 'breakfast', 'of', 'bread', 'with', 'nutella', '(', 'a', 'chocolate', 'coating', 'similar', 'to', 'butter', ')', '.')	(8, 0, 2, 9, 14, 1, 12, 4, 16, 17, 18, 13, 3, 6, 7, 5, 11, 10, 15)	('with', 'He', 'ate', 'nutella', 'similar', 'then', 'chocolate', 'mearge', 'butter', ')', '.', 'coating', 'a', 'of', 'bread', 'breakfast', 'a', '(', 'to')	2.0	True
eat	eat	'therefore i tell you, do not worry about your life, what you will eat or drink; or about your body, what you will wear.	34673	31	16	"(""'"", 'therefore', 'i', 'tell', 'you', ',', 'do', 'not', 'worry', 'about', 'your', 'life', ',', 'what', 'you', 'will', 'eat', 'or', 'drink', ';', 'or', 'about', 'your', 'body', ',', 'what', 'you', 'will', 'wear', '.')"	(9, 28, 1, 16, 18, 14, 21, 22, 27, 11, 29, 10, 2, 24, 20, 5, 0, 15, 19, 4, 6, 12, 13, 17, 7, 25, 8, 23, 3, 26)	"('about', 'wear', 'therefore', 'eat', 'drink', 'you', 'about', 'your', 'will', 'life', '.', 'your', 'i', ',', 'or', ',', ""'"", 'will', ';', 'you', 'do', ',', 'what', 'or', 'not', 'what', 'worry', 'body', 'tell', 'you')"	3.0	True
eat	eat	I said thanks, that i'd eat on it all week.	491	28	7	"('I', 'said', 'thanks', ',', 'that', 'i', ""'d"", 'eat', 'on', 'it', 'all', 'week', '.')"	(8, 1, 12, 9, 10, 5, 6, 7, 4, 3, 0, 2, 11)	"('on', 'said', '.', 'it', 'all', 'i', ""'d"", 'eat', 'that', ',', 'I', 'thanks', 'week')"	7.0	True
eat	eat	I forgot when making corn on the cob so he really couldn't eat that.	29248	16	13	"('I', 'forgot', 'when', 'making', 'corn', 'on', 'the', 'cob', 'so', 'he', 'really', 'could', ""n't"", 'eat', 'that', '.')"	(3, 7, 9, 1, 10, 2, 11, 6, 0, 13, 4, 12, 15, 14, 5, 8)	"('making', 'cob', 'he', 'forgot', 'really', 'when', 'could', 'the', 'I', 'eat', 'corn', ""n't"", '.', 'that', 'on', 'so')"	9.0	True
eat	eats	Flora was raised vegetarian, but she eats to live, so she eats anything that makes her healthy, and the other student ilaria, just eats chickens, so there not big meat eaters.	21336	69	13	('Flora', 'was', 'raised', 'vegetarian', ',', 'but', 'she', 'eats', 'to', 'live', ',', 'so', 'she', 'eats', 'anything', 'that', 'makes', 'her', 'healthy', ',', 'and', 'the', 'other', 'student', 'ilaria', ',', 'just', 'eats', 'chickens', ',', 'so', 'there', 'not', 'big', 'meat', 'eaters', '.')	(8, 0, 1, 21, 7, 17, 25, 6, 26, 23, 11, 27, 3, 35, 15, 16, 29, 30, 36, 13, 10, 24, 5, 4, 34, 14, 9, 19, 12, 2, 33, 28, 31, 32, 20, 22, 18)	('to', 'Flora', 'was', 'the', 'eats', 'her', ',', 'she', 'just', 'student', 'so', 'eats', 'vegetarian', 'eaters', 'that', 'makes', ',', 'so', '.', 'eats', ',', 'ilaria', 'but', ',', 'meat', 'anything', 'live', ',', 'she', 'raised', 'big', 'chickens', 'there', 'not', 'and', 'other', 'healthy')	19.0	True
eat	ate	After that we came back home and ate.	8526	17	7	('After', 'that', 'we', 'came', 'back', 'home', 'and', 'ate', '.')	(4, 7, 3, 8, 6, 5, 1, 0, 2)	('back', 'ate', 'came', '.', 'and', 'home', 'that', 'After', 'we')	1.0	True
eat	eat	i sayi never get hungry as i hav gremlins in me that eat all my food so i never get enough nutrition gotta go bye	15483	8	12	('i', 'sayi', 'never', 'get', 'hungry', 'as', 'i', 'hav', 'gremlins', 'in', 'me', 'that', 'eat', 'all', 'my', 'food', 'so', 'i', 'never', 'get', 'enough', 'nutrition', 'got', 'ta', 'go', 'bye')	(10, 25, 16, 7, 14, 21, 24, 11, 20, 9, 4, 13, 18, 19, 8, 23, 0, 1, 17, 15, 2, 22, 3, 12, 5, 6)	('me', 'bye', 'so', 'hav', 'my', 'nutrition', 'go', 'that', 'enough', 'in', 'hungry', 'all', 'never', 'get', 'gremlins', 'ta', 'i', 'sayi', 'i', 'food', 'never', 'got', 'get', 'eat', 'as', 'i')	23.0	True
eat	eat	i'll update this more later, i gotta go eat, love you all ~lee	28457	51	11	"('i', ""'ll"", 'update', 'this', 'more', 'later', ',', 'i', 'got', 'ta', 'go', 'eat', ',', 'love', 'you', 'all', '~lee')"	(1, 13, 10, 6, 12, 15, 3, 7, 9, 5, 11, 0, 16, 8, 2, 4, 14)	"(""'ll"", 'love', 'go', ',', ',', 'all', 'this', 'i', 'ta', 'later', 'eat', 'i', '~lee', 'got', 'update', 'more', 'you')"	10.0	True
eat	eating	Then i suffered some type of convulsion when i realized i was eating my fish  n'  chips (fries) off a newspaper.	10193	9	12	"('Then', 'i', 'suffered', 'some', 'type', 'of', 'convulsion', 'when', 'i', 'realized', 'i', 'was', 'eating', 'my', 'fish', ' ', 'n', ""'"", ' ', 'chips', '(', 'fries', ')', 'off', 'a', 'newspaper', '.')"	(24, 21, 22, 0, 10, 25, 2, 6, 5, 4, 7, 1, 12, 3, 8, 15, 11, 9, 17, 16, 13, 26, 23, 20, 14, 19, 18)	"('a', 'fries', ')', 'Then', 'i', 'newspaper', 'suffered', 'convulsion', 'of', 'type', 'when', 'i', 'eating', 'some', 'i', ' ', 'was', 'realized', ""'"", 'n', 'my', '.', 'off', '(', 'fish', 'chips', ' ')"	12.0	True
eat	eaten	Seriously, i get crabby when i wake up from naps anyways, but when someone wakes me up that way, wow, it pisses me off, it doesn't help that i had just found out she had eaten some of my cake too.	6194	20	41	"('Seriously', ',', 'i', 'get', 'crabby', 'when', 'i', 'wake', 'up', 'from', 'naps', 'anyways', ',', 'but', 'when', 'someone', 'wakes', 'me', 'up', 'that', 'way', ',', 'wow', ',', 'it', 'pisses', 'me', 'off', ',', 'it', 'does', ""n't"", 'help', 'that', 'i', 'had', 'just', 'found', 'out', 'she', 'had', 'eaten', 'some', 'of', 'my', 'cake', 'too', '.')"	(40, 36, 28, 15, 35, 37, 32, 25, 1, 3, 6, 4, 17, 11, 10, 9, 21, 16, 42, 13, 2, 8, 29, 24, 41, 20, 44, 47, 5, 7, 33, 38, 26, 12, 23, 39, 14, 46, 27, 43, 19, 45, 31, 0, 34, 30, 18, 22)	"('had', 'just', ',', 'someone', 'had', 'found', 'help', 'pisses', ',', 'get', 'i', 'crabby', 'me', 'anyways', 'naps', 'from', ',', 'wakes', 'some', 'but', 'i', 'up', 'it', 'it', 'eaten', 'way', 'my', '.', 'when', 'wake', 'that', 'out', 'me', ',', ',', 'she', 'when', 'too', 'off', 'of', 'that', 'cake', ""n't"", 'Seriously', 'i', 'does', 'up', 'wow')"	24.0	True
eat	eating	My husband insists on eating it, but it tastes just like sawdust.	32025	6	4	('My', 'husband', 'insists', 'on', 'eating', 'it', ',', 'but', 'it', 'tastes', 'just', 'like', 'sawdust', '.')	(6, 2, 12, 8, 13, 10, 1, 0, 5, 3, 7, 9, 11, 4)	(',', 'insists', 'sawdust', 'it', '.', 'just', 'husband', 'My', 'it', 'on', 'but', 'tastes', 'like', 'eating')	13.0	True
eat	eat	I like small group, it's good to spend time with the guys, eat breakfast, share about what we've been going through... though, it always becomes a yogi-counselling session by the end.	24325	1	15	"('I', 'like', 'small', 'group', ',', 'it', ""'s"", 'good', 'to', 'spend', 'time', 'with', 'the', 'guys', ',', 'eat', 'breakfast', ',', 'share', 'about', 'what', 'we', ""'ve"", 'been', 'going', 'through', '...', 'though', ',', 'it', 'always', 'becomes', 'a', 'yogi', '-', 'counselling', 'session', 'by', 'the', 'end', '.')"	(23, 37, 27, 20, 22, 34, 24, 32, 30, 40, 3, 19, 7, 16, 39, 12, 38, 21, 4, 2, 29, 1, 35, 11, 15, 26, 25, 33, 13, 10, 6, 31, 36, 9, 5, 14, 0, 28, 8, 17, 18)	"('been', 'by', 'though', 'what', ""'ve"", '-', 'going', 'a', 'always', '.', 'group', 'about', 'good', 'breakfast', 'end', 'the', 'the', 'we', ',', 'small', 'it', 'like', 'counselling', 'with', 'eat', '...', 'through', 'yogi', 'guys', 'time', ""'s"", 'becomes', 'session', 'spend', 'it', ',', 'I', ',', 'to', ',', 'share')"	24.0	True
eat	Eat	Eat and drink while riding,  keep the servings about hand size so you can take it with you and eat/drink it as you start your next lap.	37921	29	0	('Eat', 'and', 'drink', 'while', 'riding', ',', ' ', 'keep', 'the', 'servings', 'about', 'hand', 'size', 'so', 'you', 'can', 'take', 'it', 'with', 'you', 'and', 'eat', '/', 'drink', 'it', 'as', 'you', 'start', 'your', 'next', 'lap', '.')	(20, 11, 28, 31, 13, 17, 8, 27, 0, 18, 22, 29, 19, 7, 4, 26, 25, 1, 5, 10, 9, 12, 15, 30, 21, 16, 3, 24, 23, 14, 6, 2)	('and', 'hand', 'your', '.', 'so', 'it', 'the', 'start', 'Eat', 'with', '/', 'next', 'you', 'keep', 'riding', 'you', 'as', 'and', ',', 'about', 'servings', 'size', 'can', 'lap', 'eat', 'take', 'while', 'it', 'drink', 'you', ' ', 'drink')	8.0	True
eat	eating	we ended up eating at pinks.	13008	44	3	('we', 'ended', 'up', 'eating', 'at', 'pinks', '.')	(5, 3, 1, 0, 4, 2, 6)	('pinks', 'eating', 'ended', 'we', 'at', 'up', '.')	1.0	True
eat	eats	My parents are not used to raw fish because no one eats that in wisconsin (unless its pickled herring on a ritz).	6969	12	11	('My', 'parents', 'are', 'not', 'used', 'to', 'raw', 'fish', 'because', 'no', 'one', 'eats', 'that', 'in', 'wisconsin', '(', 'unless', 'its', 'pickled', 'herring', 'on', 'a', 'ritz', ')', '.')	(17, 6, 3, 8, 20, 13, 14, 12, 22, 24, 21, 9, 10, 23, 16, 5, 7, 2, 11, 4, 19, 15, 18, 1, 0)	('its', 'raw', 'not', 'because', 'on', 'in', 'wisconsin', 'that', 'ritz', '.', 'a', 'no', 'one', ')', 'unless', 'to', 'fish', 'are', 'eats', 'used', 'herring', '(', 'pickled', 'parents', 'My')	18.0	True
eat	eat	If you go in late august or early september, go to schueberfouer, a huge carnival where all the locals congregate to eat, drink, and go on rides that look both exhilarating and nauseating (watch out for the broken glass all over the ground though).	35497	14	23	('If', 'you', 'go', 'in', 'late', 'august', 'or', 'early', 'september', ',', 'go', 'to', 'schueberfouer', ',', 'a', 'huge', 'carnival', 'where', 'all', 'the', 'locals', 'congregate', 'to', 'eat', ',', 'drink', ',', 'and', 'go', 'on', 'rides', 'that', 'look', 'both', 'exhilarating', 'and', 'nauseating', '(', 'watch', 'out', 'for', 'the', 'broken', 'glass', 'all', 'over', 'the', 'ground', 'though', ')', '.')	(47, 34, 3, 43, 27, 15, 42, 13, 21, 6, 49, 36, 32, 0, 7, 29, 25, 9, 26, 4, 39, 38, 5, 30, 19, 40, 50, 23, 10, 33, 17, 11, 44, 37, 18, 48, 45, 31, 2, 16, 8, 46, 24, 1, 12, 28, 22, 41, 35, 20, 14)	('ground', 'exhilarating', 'in', 'glass', 'and', 'huge', 'broken', ',', 'congregate', 'or', ')', 'nauseating', 'look', 'If', 'early', 'on', 'drink', ',', ',', 'late', 'out', 'watch', 'august', 'rides', 'the', 'for', '.', 'eat', 'go', 'both', 'where', 'to', 'all', '(', 'all', 'though', 'over', 'that', 'go', 'carnival', 'september', 'the', ',', 'you', 'schueberfouer', 'go', 'to', 'the', 'and', 'locals', 'a')	27.0	True
eat	eat	I guess those college information letters have some use.  -  i took the bus home the past two days, it felt weird.  -  and, to the many people i promised that i would see hello dolly on opening night,  i'm sorry!  -  i've been trying to eat healthier, having salads or sandwiches at lunch and for snacks, eating a full dinner.	16826	7	61	"('I', 'guess', 'those', 'college', 'information', 'letters', 'have', 'some', 'use', '.', ' ', '-', ' ', 'i', 'took', 'the', 'bus', 'home', 'the', 'past', 'two', 'days', ',', 'it', 'felt', 'weird', '.', ' ', '-', ' ', 'and', ',', 'to', 'the', 'many', 'people', 'i', 'promised', 'that', 'i', 'would', 'see', 'hello', 'dolly', 'on', 'opening', 'night', ',', ' ', 'i', ""'m"", 'sorry', '!', ' ', '-', ' ', 'i', ""'ve"", 'been', 'trying', 'to', 'eat', 'healthier', ',', 'having', 'salads', 'or', 'sandwiches', 'at', 'lunch', 'and', 'for', 'snacks', ',', 'eating', 'a', 'full', 'dinner', '.')"	(69, 40, 28, 7, 27, 35, 47, 20, 56, 10, 45, 18, 51, 15, 34, 17, 48, 32, 61, 21, 9, 54, 30, 46, 65, 72, 1, 22, 25, 62, 53, 26, 50, 43, 29, 64, 77, 13, 0, 4, 38, 75, 23, 3, 74, 37, 44, 39, 33, 57, 42, 76, 78, 71, 60, 58, 59, 31, 6, 66, 2, 55, 11, 16, 5, 8, 12, 14, 73, 52, 41, 36, 19, 70, 63, 67, 24, 49, 68)	"('lunch', 'would', '-', 'some', ' ', 'people', ',', 'two', 'i', ' ', 'opening', 'the', 'sorry', 'the', 'many', 'home', ' ', 'to', 'eat', 'days', '.', '-', 'and', 'night', 'salads', 'snacks', 'guess', ',', 'weird', 'healthier', ' ', '.', ""'m"", 'dolly', ' ', 'having', 'dinner', 'i', 'I', 'information', 'that', 'a', 'it', 'college', 'eating', 'promised', 'on', 'i', 'the', ""'ve"", 'hello', 'full', '.', 'for', 'to', 'been', 'trying', ',', 'have', 'or', 'those', ' ', '-', 'bus', 'letters', 'use', ' ', 'took', ',', '!', 'see', 'i', 'past', 'and', ',', 'sandwiches', 'felt', 'i', 'at')"	18.0	True
eat	ate	I woke up, went to the kitchen, made some eggs and toast, and ate it.	29025	22	16	('I', 'woke', 'up', ',', 'went', 'to', 'the', 'kitchen', ',', 'made', 'some', 'eggs', 'and', 'toast', ',', 'and', 'ate', 'it', '.')	(0, 17, 9, 3, 4, 15, 7, 5, 10, 6, 8, 12, 2, 1, 16, 13, 14, 11, 18)	('I', 'it', 'made', ',', 'went', 'and', 'kitchen', 'to', 'some', 'the', ',', 'and', 'up', 'woke', 'ate', 'toast', ',', 'eggs', '.')	14.0	True
eat	ate	He was so deeply preoccupied with not wasting drugs that he ate a bit of his own snot after he had done a rail.	29423	20	11	('He', 'was', 'so', 'deeply', 'preoccupied', 'with', 'not', 'wasting', 'drugs', 'that', 'he', 'ate', 'a', 'bit', 'of', 'his', 'own', 'snot', 'after', 'he', 'had', 'done', 'a', 'rail', '.')	(1, 14, 3, 2, 19, 18, 0, 16, 9, 24, 5, 4, 22, 8, 15, 12, 6, 7, 23, 21, 20, 13, 11, 10, 17)	('was', 'of', 'deeply', 'so', 'he', 'after', 'He', 'own', 'that', '.', 'with', 'preoccupied', 'a', 'drugs', 'his', 'a', 'not', 'wasting', 'rail', 'done', 'had', 'bit', 'ate', 'he', 'snot')	22.0	True
