,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,BERT tag,BERT replacements,entropy,%OPENCLASS,POS PREDICTIONS,ROBERTA REPLACEMENTS
93,horrible,HORRIBLE,0.0029850746268656,0.0059701492537313,2,we were going to go down to LA but then decided not to- mostly because the traffic would have been HORRIBLE going down and up!,37145,3,20,"('we', 'were', 'going', 'to', 'go', 'down', 'to', 'LA', 'but', 'then', 'decided', 'not', 'to-', 'mostly', 'because', 'the', 'traffic', 'would', 'have', 'been', 'HORRIBLE', 'going', 'down', 'and', 'up', '!')",670.0,ADV,"['faster', 'heavy', 'just', 'easier', 'better']",0.0981523079501413,1.0,ADJ,"['crazy', 'heavy', 'terrible', 'horrible', 'huge']"
94,huge,huge,0.000836820083682,0.0100418410041841,1,At night we seat at that tree and he huge me so tightly n said the sweet word... ',25438,37,9,"('At', 'night', 'we', 'seat', 'at', 'that', 'tree', 'and', 'he', 'huge', 'me', 'so', 'tightly', 'n', 'said', 'the', 'sweet', 'word', '...', ""'"")",1195.0,VERB,"['held', 'hugged', 'squeezed', 'gripped', 'clutched']",0.1005678086867748,1.0,VERB,"['held', 'hold', 'hug', 'took', 'pulled']"
95,melbourne,melbourne,0.0131578947368421,0.986842105263158,1,"*grumble* stupid thing...  anyway, won't be here a while, going to melbourne for the week, from tomorrow.",15991,3,18,"('*', 'grumble', '*', 'stupid', 'thing', '...', ' ', 'anyway', ',', 'wo', ""n't"", 'be', 'here', 'a', 'while', ',', 'going', 'to', 'melbourne', 'for', 'the', 'week', ',', 'from', 'tomorrow', '.')",76.0,NOUN,"['school', 'work', 'college', 'England', 'London']",0.1010669636121241,1.0,VERB,"['work', 'school', 'London', 'college', 'camp']"
96,full,full,0.0014177693761814,0.0080340264650283,3,I dont want to be forced into a decision I dont think I can full heartily make.,1039,7,16,"('I', 'do', 'nt', 'want', 'to', 'be', 'forced', 'into', 'a', 'decision', 'I', 'do', 'nt', 'think', 'I', 'can', 'full', 'heartily', 'make', '.')",2116.0,ADV,"['so', 'most', 'ever', 'never', 'very']",0.1027016981102353,0.9855612482533768,ADV,"['fully', 'self', 'so', 'even', 'very']"
97,full,fulled,0.0014177693761814,0.0080340264650283,3,Why is everything so fulled up wif problems.,34720,0,4,"('Why', 'is', 'everything', 'so', 'fulled', 'up', 'wif', 'problems', '.')",2116.0,VERB,"['messed', 'screwed', 'wrapped', 'tangled', 'fucked']",0.1027016981102353,0.9855612482533768,VERB,"['tied', 'made', 'set', 'fucked', 'filled']"
98,full,fulling,0.0014177693761814,0.0080340264650283,3,"I am trying my hand at fulling/felting, so will be starting with a Boojabag, and then one pair of Fuzzyfeet (Knitty.com).",30602,3,6,"('I', 'am', 'trying', 'my', 'hand', 'at', 'fulling', '/', 'felting', ',', 'so', 'will', 'be', 'starting', 'with', 'a', 'Boojabag', ',', 'and', 'then', 'one', 'pair', 'of', 'Fuzzyfeet', '(', 'Knitty.com', ')', '.')",2116.0,NOUN,"['sewing', 'feeling', 'making', 'reading', 'writing']",0.1027016981102353,0.9855612482533768,NOUN,"['making', 'pattern', 'batik', 'felt', 'appliqué']"
99,nose,nosing,0.002415458937198,0.0096618357487922,1,"From the people who cut you off while driving, to the people who flip you off for only driving 30 MPH above the speed limit, to the idiot at the major league baseball game who stole the foul ball from a 4 year old boy, to the spineless, brown-nosing, boss who targeted his employee for termination before he even realized what his job was; just because his boss wanted it to happen.",28874,2,54,"('From', 'the', 'people', 'who', 'cut', 'you', 'off', 'while', 'driving', ',', 'to', 'the', 'people', 'who', 'flip', 'you', 'off', 'for', 'only', 'driving', '30', 'MPH', 'above', 'the', 'speed', 'limit', ',', 'to', 'the', 'idiot', 'at', 'the', 'major', 'league', 'baseball', 'game', 'who', 'stole', 'the', 'foul', 'ball', 'from', 'a', '4', 'year', 'old', 'boy', ',', 'to', 'the', 'spineless', ',', 'brown', '-', 'nosing', ',', 'boss', 'who', 'targeted', 'his', 'employee', 'for', 'termination', 'before', 'he', 'even', 'realized', 'what', 'his', 'job', 'was', ';', 'just', 'because', 'his', 'boss', 'wanted', 'it', 'to', 'happen', '.')",414.0,ADJ,"['haired', 'eyed', 'skinned', 'headed', 'faced']",0.1029883428298198,1.0,NOUN,"['hair', 'head', 'eyes', 'ish', 'hair']"
100,sad,sAd,0.0005115089514066,0.0102301790281329,1,-pRincipAl..sHe wAs sO crAppy aNd kEepz relatiNg tO anderson jc bUt sAd tO sAe..,35759,10,15,"('-', 'pRincipAl', '..', 'sHe', 'wAs', 'sO', 'crAppy', 'aNd', 'kEepz', 'relatiNg', 'tO', 'anderson', 'jc', 'bUt', 'sAd', 'tO', 'sAe', '..')",1955.0,PUNCT,"['.', '-,', 'k', '/']",0.1051706884486192,0.9994887525562371,PROPN,"['A', 'E', 'I', 'Y', 'H']"
101,michelle,micheLLe,0.0080645161290322,0.9879032258064516,2,yOke liNg aNd micheLLe i thiNk to buy LipiNg's bdaE preseNt..shuD be buYing a soFt toY..coZ hearD frOm yOkes,3795,6,3,"('yOke', 'liNg', 'aNd', 'micheLLe', 'i', 'thiNk', 'to', 'buy', 'LipiNg', ""'s"", 'bdaE', 'preseNt', '..', 'shuD', 'be', 'buYing', 'a', 'soFt', 'toY', '..', 'coZ', 'hearD', 'frOm', 'yOkes')",248.0,PUNCT,"['.', '-', ""'E,""]",0.1055015722593357,1.0,INTJ,"['E', '..', 'O', 'A', 'I']"
102,michelle,MICHELLE,0.0080645161290322,0.9879032258064516,2,"For part two, BUG MICHELLE TAN FOR IT!!!",16573,33,5,"('For', 'part', 'two', ',', 'BUG', 'MICHELLE', 'TAN', 'FOR', 'IT', '!', '!', '!')",248.0,SYM,"['##H', '-HTGEY']",0.1055015722593357,1.0,PROPN,"['GY', 'GER', 'IS', 'HT', '&']"
103,pattern,patterned,0.0092307692307692,0.003076923076923,3,"In Western philosophy, metaphysical reality is patterned after Platoâs world of perfect forms from which our senses draw a distorted image of the true reality.",10471,4,7,"('In', 'Western', 'philosophy', ',', 'metaphysical', 'reality', 'is', 'patterned', 'after', 'Plato', 'â\x80\x99s', 'world', 'of', 'perfect', 'forms', 'from', 'which', 'our', 'senses', 'draw', 'a', 'distorted', 'image', 'of', 'the', 'true', 'reality', '.')",325.0,VERB,"['modeled', 'modelled', 'named', 'fashioned', 'constructed']",0.1057151298591314,1.0,VERB,"['called', 'taken', 'described', 'known', 'designed']"
104,pattern,patterned,0.0092307692307692,0.003076923076923,3,"(Translation: 'Make it prettier, with darker colors and fancy marble-patterned designs.')",29137,24,15,"('(', 'Translation', ':', ""'"", 'Make', 'it', 'prettier', ',', 'with', 'darker', 'colors', 'and', 'fancy', 'marble', '-', 'patterned', 'designs', '.', ""'"", ')')",325.0,ADJ,"['like', 'colored', 'based', 'block', 'shaped']",0.1057151298591314,1.0,NOUN,"['like', 'like', 'type', 'type', 'style']"
105,pattern,patterned,0.0092307692307692,0.003076923076923,3,"She does wear turquoise, dramatically draped black,  exotically patterned fabric, gold lame.",12743,39,11,"('She', 'does', 'wear', 'turquoise', ',', 'dramatically', 'draped', 'black', ',', ' ', 'exotically', 'patterned', 'fabric', ',', 'gold', 'lame', '.')",325.0,VERB,"['colored', 'styled', 'coloured', 'shaped', 'cut']",0.1057151298591314,1.0,ADJ,"['black', 'white', 'blue', 'soft', 'red']"
106,guilt,guilt,0.006060606060606,0.006060606060606,1,"Regardless, it happened, and I'm sad - but that doesn't give her  any  authority to disseminate BULLSHIT emails to the rest of the company trying to guilt us into giving money to a BULLSHIT cause that is trying to strip my freedoms.",5865,25,32,"('Regardless', ',', 'it', 'happened', ',', 'and', 'I', ""'m"", 'sad', '-', 'but', 'that', 'does', ""n't"", 'give', 'her', ' ', 'any', ' ', 'authority', 'to', 'disseminate', 'BULLSHIT', 'emails', 'to', 'the', 'rest', 'of', 'the', 'company', 'trying', 'to', 'guilt', 'us', 'into', 'giving', 'money', 'to', 'a', 'BULLSHIT', 'cause', 'that', 'is', 'trying', 'to', 'strip', 'my', 'freedoms', '.')",165.0,PART,"['talk', 'trick', 'pressure', 'manipulate', 'force']",0.1066695527932967,1.0,PART,"['trick', 'pressure', 'talk', 'fool', 'get']"
107,article,articles,0.0008097165991902,0.0129554655870445,1,Hopefully this is the first (of many) articles the WSJ will not hide behind their 'registration wall'.,5965,1,9,"('Hopefully', 'this', 'is', 'the', 'first', '(', 'of', 'many', ')', 'articles', 'the', 'WSJ', 'will', 'not', 'hide', 'behind', 'their', ""'"", 'registration', 'wall', ""'"", '.')",1235.0,NOUN,"['time', 'that', 'where', 'times', 'place']",0.1092722714032846,1.0,SCONJ,"['that', 'where', 'cases', 'case', 'when']"
108,barry,barry,0.0147058823529411,0.9852941176470588,1,"christina aguilera or cher?) and you ask, 'who would you rather sleep with: barry melrose or chris berman?'",20462,2,18,"('christina', 'aguilera', 'or', 'cher', '?', ')', 'and', 'you', 'ask', ',', ""'"", 'who', 'would', 'you', 'rather', 'sleep', 'with', ':', 'barry', 'melrose', 'or', 'chris', 'berman', '?', ""'"")",68.0,DET,"['a', 'the', '(', 'or', 'de']",0.1105808447698871,1.0,PROPN,"['jane', 'kate', 'anne', 'mark', 'miss']"
109,musician,musicians,0.0063291139240506,0.0,1,"They played the hits, they played album tracks such as NEW RELIGION and CARELESS MEMORIES with the energy that musicians half their age couldn't muster, and they played new songs that potentially rival the best of their back catalog.",8639,18,20,"('They', 'played', 'the', 'hits', ',', 'they', 'played', 'album', 'tracks', 'such', 'as', 'NEW', 'RELIGION', 'and', 'CARELESS', 'MEMORIES', 'with', 'the', 'energy', 'that', 'musicians', 'half', 'their', 'age', 'could', ""n't"", 'muster', ',', 'and', 'they', 'played', 'new', 'songs', 'that', 'potentially', 'rival', 'the', 'best', 'of', 'their', 'back', 'catalog', '.')",158.0,PRON,"['someone', 'anyone', 'people', 'boys', 'kids']",0.1105988105662753,1.0,NOUN,"['anyone', 'people', 'others', 'someone', 'guys']"
110,ich,ich,0.0010245901639344,0.9877049180327868,1,geburtstag in down under...will ich auch *aufdembodenwelz* mir faellt immer wieder auf was fuer ein spannendes leben ich eigentlich fuehre.,23332,14,6,"('geburtstag', 'in', 'down', 'under', '...', 'will', 'ich', 'auch', '*', 'aufdembodenwelz', '*', 'mir', 'faellt', 'immer', 'wieder', 'auf', 'was', 'fuer', 'ein', 'spannendes', 'leben', 'ich', 'eigentlich', 'fuehre', '.')",976.0,SYM,"['##eniget', 'be']",0.1113963492636175,1.0,VERB,"['ich', 'man', 'es', 'ja', 'das']"
111,large,large,0.0008230452674897,0.0106995884773662,1,One of us obtains a large bill (not to large) and puts it all into tokens.,4025,9,10,"('One', 'of', 'us', 'obtains', 'a', 'large', 'bill', '(', 'not', 'to', 'large', ')', 'and', 'puts', 'it', 'all', 'into', 'tokens', '.')",1215.0,VERB,"['mention', 'pay', 'say', 'me', 'lose']",0.1125700367733998,0.9991776315789472,VERB,"['much', 'kens', 'large', 'pay', 'many']"
112,deed,deeds,0.0151515151515151,0.0,1,"I envision John Kerry as a big Democratic Party Suggestion box and a Marionette puppet for Teddy Kennedy and his pals to funnel there thoughts through and act out there deeds for them because noone in America would vote for those clownshoes, unless we were in Bizzaroland.....",17870,20,30,"('I', 'envision', 'John', 'Kerry', 'as', 'a', 'big', 'Democratic', 'Party', 'Suggestion', 'box', 'and', 'a', 'Marionette', 'puppet', 'for', 'Teddy', 'Kennedy', 'and', 'his', 'pals', 'to', 'funnel', 'there', 'thoughts', 'through', 'and', 'act', 'out', 'there', 'deeds', 'for', 'them', 'because', 'noone', 'in', 'America', 'would', 'vote', 'for', 'those', 'clownshoes', ',', 'unless', 'we', 'were', 'in', 'Bizzaroland', '.....')",66.0,NOUN,"['words', 'feelings', 'ideas', 'things', 'thoughts']",0.1132743034970966,1.0,NOUN,"['ideas', 'plans', 'words', 'support', 'vote']"
113,proud,proud,0.001592356687898,0.0079617834394904,1,We should proud that we still have chance to watch this kind of traditional dance.,17637,8,2,"('We', 'should', 'proud', 'that', 'we', 'still', 'have', 'chance', 'to', 'watch', 'this', 'kind', 'of', 'traditional', 'dance', '.')",628.0,VERB,"['know', 'remember', 'hope', 'see', 'ensure']",0.1149921314641364,0.9936708860759492,VERB,"['remember', 'appreciate', 'know', 'celebrate', 'hope']"
114,knee,knee,0.0080213903743315,0.0053475935828877,3,"Soon, we reached our destination, i wanted to knee down and shout out loud.",34724,24,10,"('Soon', ',', 'we', 'reached', 'our', 'destination', ',', 'i', 'wanted', 'to', 'knee', 'down', 'and', 'shout', 'out', 'loud', '.')",374.0,VERB,"['sit', 'break', 'slow', 'calm', 'lie']",0.1153599605869693,1.0,VERB,"['sit', 'jump', 'look', 'get', 'break']"
115,knee,knee,0.0080213903743315,0.0053475935828877,3,"So Reno climbed over Cid, making sure to step on his feet, sit on his hands, hit him in the face, elbow him in the chest, crush his legs, and knee him in the groin as he did so.",11684,576,36,"('So', 'Reno', 'climbed', 'over', 'Cid', ',', 'making', 'sure', 'to', 'step', 'on', 'his', 'feet', ',', 'sit', 'on', 'his', 'hands', ',', 'hit', 'him', 'in', 'the', 'face', ',', 'elbow', 'him', 'in', 'the', 'chest', ',', 'crush', 'his', 'legs', ',', 'and', 'knee', 'him', 'in', 'the', 'groin', 'as', 'he', 'did', 'so', '.')",374.0,VERB,"['kick', 'knee', 'punch', 'hit', 'elbow']",0.1153599605869693,1.0,VERB,"['kick', 'slap', 'hit', 'stab', 'beat']"
116,knee,knee,0.0080213903743315,0.0053475935828877,3,"but i wanna kick his ass and elbow his head and knee his stomach.. in short, i wanna see blood..",11241,9,11,"('but', 'i', 'wanna', 'kick', 'his', 'ass', 'and', 'elbow', 'his', 'head', 'and', 'knee', 'his', 'stomach', '..', 'in', 'short', ',', 'i', 'wanna', 'see', 'blood', '..')",374.0,VERB,"['kick', 'punch', 'slice', 'bite', 'hit']",0.1153599605869693,1.0,VERB,"['rub', 'stroke', 'kick', 'touch', 'shake']"
117,isa,isa,0.0158730158730158,0.984126984126984,1,funny thing isa that ..i hear his voice while i wa reaing the short msg of him.,9906,5,2,"('funny', 'thing', 'isa', 'that', '..', 'i', 'hear', 'his', 'voice', 'while', 'i', 'wa', 'reaing', 'the', 'short', 'msg', 'of', 'him', '.')",63.0,AUX,"['is', 'about,', 'was', 'with']",0.1175946656588647,1.0,AUX,"['is', 'about', 'was', 'in', 'being']"
118,careful,Careful,0.0092592592592592,0.0,2,Careful's not really an adjective used to describe me.,13161,24,0,"('Careful', ""'s"", 'not', 'really', 'an', 'adjective', 'used', 'to', 'describe', 'me', '.')",216.0,PRON,"['It', 'That', 'it', 'that', 'There']",0.1183451451815076,1.0,PRON,"['It', 'That', 'that', 'it', 'There']"
119,careful,CAREFUL,0.0092592592592592,0.0,2,"Of course, the anceint words of folklore that have, in themselves, ended up wrapped within legends, ring true here ...    BE CAREFUL WHAT YOU ASK FOR, YOU MIGHT JUST GET IT!    until next time  Ka Kite Ano (see you again :D)",33000,31,26,"('Of', 'course', ',', 'the', 'anceint', 'words', 'of', 'folklore', 'that', 'have', ',', 'in', 'themselves', ',', 'ended', 'up', 'wrapped', 'within', 'legends', ',', 'ring', 'true', 'here', '...', '   ', 'BE', 'CAREFUL', 'WHAT', 'YOU', 'ASK', 'FOR', ',', 'YOU', 'MIGHT', 'JUST', 'GET', 'IT', '!', '   ', 'until', 'next', 'time', ' ', 'Ka', 'Kite', 'Ano', '(', 'see', 'you', 'again', ':D', ')')",216.0,PRON,"['IT', 'YOU', 'MEY', 'TO']",0.1183451451815076,1.0,ADP,"['IT', 'IN', 'FOR', 'GIN', 'C']"
120,josh,joshing,0.0024509803921568,0.9852941176470588,1,"I'm just joshing, guys!",31225,10,3,"('I', ""'m"", 'just', 'joshing', ',', 'guys', '!')",408.0,ADV,"['kidding', 'fine', 'saying', 'joking', 'tired']",0.1201399980294217,1.0,ADV,"['here', 'playing', 'curious', 'saying', 'talking']"
121,ear,Ear,0.005281690140845,0.0088028169014084,3,Was Big Ear some sort of robot?,31135,15,2,"('Was', 'Big', 'Ear', 'some', 'sort', 'of', 'robot', '?')",568.0,PROPN,"['##foot', 'Jim', 'Dave', 'Bob', 'Mike']",0.1202347648114047,1.0,PROPN,"['foot', 'Brother', 'Ben', 'Apple', 'Mac']"
122,ear,ears,0.005281690140845,0.0088028169014084,3,"They are a face to talk to - eyes that cannot see your pain, noses that cannot smell the fear, lips that cannot speak words you dont want to obey, ears that words fall deafly onto and no arms to reach out and comfort you lest you break down and tell all.",22291,22,37,"('They', 'are', 'a', 'face', 'to', 'talk', 'to', '-', 'eyes', 'that', 'can', 'not', 'see', 'your', 'pain', ',', 'noses', 'that', 'can', 'not', 'smell', 'the', 'fear', ',', 'lips', 'that', 'can', 'not', 'speak', 'words', 'you', 'do', 'nt', 'want', 'to', 'obey', ',', 'ears', 'that', 'words', 'fall', 'deafly', 'onto', 'and', 'no', 'arms', 'to', 'reach', 'out', 'and', 'comfort', 'you', 'lest', 'you', 'break', 'down', 'and', 'tell', 'all', '.')",568.0,NOUN,"['lips', 'ears', 'mouths', 'words', 'eyes']",0.1202347648114047,1.0,NOUN,"['hands', 'lips', 'face', 'skin', 'mouth']"
123,ear,ear,0.005281690140845,0.0088028169014084,3,"Anyway, my daughter danced with a boy and came home grinning ear to ear and had a lovely evening.",28978,22,14,"('Anyway', ',', 'my', 'daughter', 'danced', 'with', 'a', 'boy', 'and', 'came', 'home', 'grinning', 'ear', 'to', 'ear', 'and', 'had', 'a', 'lovely', 'evening', '.')",568.0,NOUN,"['ear', 'ears', 'mouth', 'foot', 'tooth']",0.1202347648114047,1.0,NOUN,"['ear', 'toe', 'eye', 'mouth', 'head']"
124,leg,leg,0.0011976047904191,0.0119760479041916,1,"Woke up at 8am again today, leaving me little time to get myself ready and leg it out of the house.",14370,4,17,"('Woke', 'up', 'at', '8', 'am', 'again', 'today', ',', 'leaving', 'me', 'little', 'time', 'to', 'get', 'myself', 'ready', 'and', 'leg', 'it', 'out', 'of', 'the', 'house', '.')",835.0,VERB,"['make', 'get', 'take', 'figure', 'kick']",0.1202822130430055,1.0,VERB,"['make', 'making', 'made', 'get', 'makes']"
125,reality,reality,0.0022050716648291,0.0132304299889746,2,"Albeit powerful, they are still merely what they are: descriptions and predictions and representations of reality, not reality itself.",24724,11,20,"('Albeit', 'powerful', ',', 'they', 'are', 'still', 'merely', 'what', 'they', 'are', ':', 'descriptions', 'and', 'predictions', 'and', 'representations', 'of', 'reality', ',', 'not', 'reality', 'itself', '.')",907.0,VERB,"['reality', 'life', 'nature', 'existence', 'time']",0.1241134659288466,0.998898678414097,VERB,"['reality', 'life', 'truth', 'history', 'nature']"
126,reality,REAlITY,0.0022050716648291,0.0132304299889746,2,thats what people want...to be real with them...no wonder REAlITY tv is at an all time HIGH right now...cuz people are starving for people to just be REAL...so...be yourself...haha...its more fun that way anyways...,17480,39,14,"('that', 's', 'what', 'people', 'want', '...', 'to', 'be', 'real', 'with', 'them', '...', 'no', 'wonder', 'REAlITY', 'tv', 'is', 'at', 'an', 'all', 'time', 'HIGH', 'right', 'now', '...', 'cuz', 'people', 'are', 'starving', 'for', 'people', 'to', 'just', 'be', 'REAL', '...', 'so', '...', 'be', 'yourself', '...', 'haha', '...', 'its', 'more', 'fun', 'that', 'way', 'anyways', '...')",907.0,PUNCT,"['.', 'that', ""the'when""]",0.1241134659288466,0.998898678414097,NOUN,"['reality', 'the', 'cable', 'that', 'real']"
127,catchy,catchy,0.0172413793103448,0.0,1,Man...how long did it take him to draft that catchy little phrase???,6728,6,11,"('Man', '...', 'how', 'long', 'did', 'it', 'take', 'him', 'to', 'draft', 'that', 'catchy', 'little', 'phrase', '?', '?', '?')",58.0,ADJ,"['one', 'stupid', 'silly', 'last', 'neat']",0.1256580501725674,1.0,ADJ,"['sweet', 'one', 'cute', 'nice', 'last']"
128,allergic,allergic,0.0172413793103448,0.0,1,"The Squid3188: and he was like, 'Allergies, man' The Squid3188: 'Well, what you allergic too?'",28096,7,21,"('The', 'Squid3188', ':', 'and', 'he', 'was', 'like', ',', ""'"", 'Allergies', ',', 'man', ""'"", 'The', 'Squid3188', ':', ""'"", 'Well', ',', 'what', 'you', 'allergic', 'too', '?', ""'"")",58.0,VERB,"['like', 'got', 'want', 'doing', 'have']",0.1256580501725674,1.0,VERB,"['have', 'got', 'do', 'know', 'think']"
129,asleep,asleep,0.0013623978201634,0.0108991825613079,1,she's always pure in love in anger she's a poet although accidentally she said it's like tasting fire or kissing god   so alive curled in her secret corner i drink the different tears and  afterwards asleep her breath a low whistle i listen long and breathe,23485,6,40,"('she', ""'s"", 'always', 'pure', 'in', 'love', 'in', 'anger', 'she', ""'s"", 'a', 'poet', 'although', 'accidentally', 'she', 'said', 'it', ""'s"", 'like', 'tasting', 'fire', 'or', 'kissing', 'god', '  ', 'so', 'alive', 'curled', 'in', 'her', 'secret', 'corner', 'i', 'drink', 'the', 'different', 'tears', 'and', ' ', 'afterwards', 'asleep', 'her', 'breath', 'a', 'low', 'whistle', 'i', 'listen', 'long', 'and', 'breathe')",734.0,VERB,"['give', 'hear,', 'take', 'breathe']",0.1287004515957221,0.9839142091152816,VERB,"['hear', 'catch', 'with', 'in', 'take']"
130,convinced,CONVINCED,0.0178571428571428,0.0,2,CONVINCED that a Lion would be down there.,12597,15,0,"('CONVINCED', 'that', 'a', 'Lion', 'would', 'be', 'down', 'there', '.')",112.0,CCONJ,"['Not', 'Except', 'Or', 'And', 'After']",0.1292337748458849,1.0,CCONJ,"['And', 'and', 'Not', 'knew', 'said']"
131,convinced,convinced,0.0178571428571428,0.0,2,"by the time i was able to fall asleep last night, i'd convinced myself that my score could range anywhere from 168-175.",24031,4,14,"('by', 'the', 'time', 'i', 'was', 'able', 'to', 'fall', 'asleep', 'last', 'night', ',', 'i', ""'d"", 'convinced', 'myself', 'that', 'my', 'score', 'could', 'range', 'anywhere', 'from', '168', '-', '175', '.')",112.0,VERB,"['convinced', 'told', 'promised', 'assured', 'bet']",0.1292337748458849,1.0,VERB,"['told', 'convince', 'shown', 'remind', 'tell']"
132,evening,EVENING,0.0024370430544272,0.0138099106417546,3,EVENING 5:00 PM TO 11:00 PM H woke up in the middle of the night and stated he had a bad dream.,16936,7,0,"('EVENING', '5:00', 'PM', 'TO', '11:00', 'PM', 'H', 'woke', 'up', 'in', 'the', 'middle', 'of', 'the', 'night', 'and', 'stated', 'he', 'had', 'a', 'bad', 'dream', '.')",1231.0,ADP,"['From', 'At', 'Between', '-.']",0.1297228043372183,1.0,ADP,"['From', 'from', '•', '-', '</s>']"
133,evening,EVENING,0.0024370430544272,0.0138099106417546,3,EVENING 5:00 PM TO 11:00 PM While packing to leave H jumped up on the top bunk and broke one of the slats on the bed.,16928,13,0,"('EVENING', '5:00', 'PM', 'TO', '11:00', 'PM', 'While', 'packing', 'to', 'leave', 'H', 'jumped', 'up', 'on', 'the', 'top', 'bunk', 'and', 'broke', 'one', 'of', 'the', 'slats', 'on', 'the', 'bed', '.')",1231.0,PUNCT,"['CHAPTER', '~', 'From', '*', 'Chapter']",0.1297228043372183,1.0,ADP,"['From', 'from', '•', '</s>', '-']"
134,evening,EVENING,0.0024370430544272,0.0138099106417546,3,"EVENING 5:00 PM TO 11:00 PM After dinner, we took a long walk with Jack (the dog), along the way we met up with several people also walking their dogs.",16929,11,0,"('EVENING', '5:00', 'PM', 'TO', '11:00', 'PM', 'After', 'dinner', ',', 'we', 'took', 'a', 'long', 'walk', 'with', 'Jack', '(', 'the', 'dog', ')', ',', 'along', 'the', 'way', 'we', 'met', 'up', 'with', 'several', 'people', 'also', 'walking', 'their', 'dogs', '.')",1231.0,ADP,"['From', '~', '-.', 'from']",0.1297228043372183,1.0,ADP,"['From', 'from', 'TIME', '</s>', '•']"
135,entry,ENTRY,0.001008064516129,0.0161290322580645,1,IM GOING TO TRY NOT TO WRITE THIS WHOLE ENTRY IN CAPS,37111,1,9,"('IM', 'GOING', 'TO', 'TRY', 'NOT', 'TO', 'WRITE', 'THIS', 'WHOLE', 'ENTRY', 'IN', 'CAPS')",992.0,SYM,"['##S', 'IS,', '-', 'UP']",0.1305804349624308,0.9979879275653925,NOUN,"['POST', 'TIME', 'BLOG', 'URL', 'LINE']"
136,obedience,obedience,0.0181818181818181,0.0,2,"I'm not very comfortable looking at all these texts that seem to be motivating me to obedience through the promise of a reward, and claim that I should eschew the offered reward in the interests of only obeying out of gratitude (which ultimately, is the will of God for our obedience",17040,16,17,"('I', ""'m"", 'not', 'very', 'comfortable', 'looking', 'at', 'all', 'these', 'texts', 'that', 'seem', 'to', 'be', 'motivating', 'me', 'to', 'obedience', 'through', 'the', 'promise', 'of', 'a', 'reward', ',', 'and', 'claim', 'that', 'I', 'should', 'eschew', 'the', 'offered', 'reward', 'in', 'the', 'interests', 'of', 'only', 'obeying', 'out', 'of', 'gratitude', '(', 'which', 'ultimately', ',', 'is', 'the', 'will', 'of', 'God', 'for', 'our', 'obedience')",110.0,PART,"['obey', 'follow', 'go', 'comply', 'act']",0.131106529582345,1.0,PART,"['follow', 'walk', 'suffer', 'act', 'live']"
137,obedience,obediences,0.0181818181818181,0.0,2,It's nice to know that most of my customers will profess faith and be restrained by God's grace to the gospel obediences.,17010,7,23,"('It', ""'s"", 'nice', 'to', 'know', 'that', 'most', 'of', 'my', 'customers', 'will', 'profess', 'faith', 'and', 'be', 'restrained', 'by', 'God', ""'s"", 'grace', 'to', 'the', 'gospel', 'obediences', '.')",110.0,NOUN,"['##s', 'message', 'teachings', 'today', 'again']",0.131106529582345,1.0,NOUN,"['message', 's', 'truth', 'teaching', '.']"
138,whim,whims,0.0181818181818181,0.0,1,"Whims...yes, whims you get...",27861,0,4,"('Whims', '...', 'yes', ',', 'whims', 'you', 'get', '...')",55.0,CCONJ,"['but', 'as', 'and', 'if', 'what']",0.131106529582345,1.0,SCONJ,"['if', 'what', 'yes', 'here', 'when']"
139,fee,fees,0.0078125,0.0078125,1,consultancy fees r not FOC!!!,26462,4,1,"('consultancy', 'fees', 'r', 'not', 'FOC', '!', '!', '!')",128.0,PUNCT,"[""'.,?"", ';']",0.1317400753047697,1.0,PRON,"['o', 'i', 'we', 'e', 'a']"
140,door,door,0.0030581039755351,0.0122324159021406,5,"If things get real crazy, we'll ask Mom to comment on TV ads, phone bank calls, maybe even door to door campaigners (if they show up).",34088,6,22,"('If', 'things', 'get', 'real', 'crazy', ',', 'we', ""'ll"", 'ask', 'Mom', 'to', 'comment', 'on', 'TV', 'ads', ',', 'phone', 'bank', 'calls', ',', 'maybe', 'even', 'door', 'to', 'door', 'campaigners', '(', 'if', 'they', 'show', 'up', ')', '.')",1635.0,VERB,"['door', 'doors', 'window', 'Door', 'gate']",0.1325467754152863,1.0,VERB,"['door', 'out', 'walk', 'go', 'next']"
141,door,door,0.0030581039755351,0.0122324159021406,5,"If things get real crazy, we'll ask Mom to comment on TV ads, phone bank calls, maybe even door to door campaigners (if they show up).",34088,6,24,"('If', 'things', 'get', 'real', 'crazy', ',', 'we', ""'ll"", 'ask', 'Mom', 'to', 'comment', 'on', 'TV', 'ads', ',', 'phone', 'bank', 'calls', ',', 'maybe', 'even', 'door', 'to', 'door', 'campaigners', '(', 'if', 'they', 'show', 'up', ')', '.')",1635.0,NOUN,"['door', 'doors', 'wall', 'window', 'doorway']",0.1325467754152863,1.0,NOUN,"['door', 'Door', 'house', 'home', 'front']"
