,Unnamed: 0,lemma,verb form,percent as verb,percent as propn,Count as verb,Sentence,Doc index,Sent index,index of verb,tokenized sentence,total open class,ENSEMBLE tags,ROBERTA POS PREDICTIONS ENSEMBLE,ROBERTA REPLACEMENTS
63,63,ticket,ticketed,0.002621232,0.00655308,2,"Last week we were out cycling, and I got ticketed for not wearing a helmet.",17828,1,10,"('Last', 'week', 'we', 'were', 'out', 'cycling', ',', 'and', 'I', 'got', 'ticketed', 'for', 'not', 'wearing', 'a', 'helmet', '.')",763,VERB,VERB,"['hit', 'called', 'caught', 'mad', 'shot']"
64,64,tim,tims,0.00304878,0.990853659,1,People that point to their wrist and ask 'what tims is it?'  Are you wearing a fucking invisible watch that I can't see??,10499,3,10,"('People', 'that', 'point', 'to', 'their', 'wrist', 'and', 'ask', ""'"", 'what', 'tims', 'is', 'it', '?', ""'"", ' ', 'Are', 'you', 'wearing', 'a', 'fucking', 'invisible', 'watch', 'that', 'I', 'ca', ""n't"", 'see', '?', '?')",328,NOUN,NOUN,"['time', 'watch', 'day', 'year', 'date']"
65,65,creature,creatures,0.004545455,0.004545455,1,"You are all idiots, and I would gladly light the match that burns whatever back alley building you creatures infest to the ground.",29008,3,19,"('You', 'are', 'all', 'idiots', ',', 'and', 'I', 'would', 'gladly', 'light', 'the', 'match', 'that', 'burns', 'whatever', 'back', 'alley', 'building', 'you', 'creatures', 'infest', 'to', 'the', 'ground', '.')",220,NOUN,AUX,"['guys', 'can', 'all', 'could', 'may']"
66,66,extent,extent,0.010526316,0,2,The betting station even extent the operating hours to 2am!,31442,3,4,"('The', 'betting', 'station', 'even', 'extent', 'the', 'operating', 'hours', 'to', '2', 'am', '!')",190,VERB,VERB,"['increased', 'changed', 'extend', 'raised', 'moved']"
67,67,extent,extent,0.010526316,0,2,"I decided to extent my search through the www (thanks to my friend Noufal, who incidentally had made arrangements for my transportation as well by gifting me his bike).",23774,27,3,"('I', 'decided', 'to', 'extent', 'my', 'search', 'through', 'the', 'www', '(', 'thanks', 'to', 'my', 'friend', 'Noufal', ',', 'who', 'incidentally', 'had', 'made', 'arrangements', 'for', 'my', 'transportation', 'as', 'well', 'by', 'gifting', 'me', 'his', 'bike', ')', '.')",190,VERB,VERB,"['do', 'start', 'conduct', 'continue', 'begin']"
68,68,packet,packet,0.010638298,0,1,The room is so packet up with chairs theres no room for skanking/moshing.,32591,58,4,"('The', 'room', 'is', 'so', 'packet', 'up', 'with', 'chairs', 'there', 's', 'no', 'room', 'for', 'skanking', '/', 'moshing', '.')",94,NOUN,VERB,"['filled', 'lit', 'set', 'taken', 'full']"
69,69,friends,fRiEnDs,0.010638298,0.989361702,1,"*LiFe TaKeS uR DrEaMz & tUrNs thEm UpSiDe DoWn , fRiEnDs TaLk bOuT u",18512,1011,11,"('*', 'LiFe', 'TaKeS', 'uR', 'DrEaMz', '&', 'tUrNs', 'thEm', 'UpSiDe', 'DoWn', ',', 'fRiEnDs', 'TaLk', 'bOuT', 'u')",94,NOUN,CCONJ,"['&', ',', 'and', 'or', 'a']"
70,70,lauren,laurens,0.010695187,0.989304813,2,laurens,29931,32,0,"('laurens',)",187,PROPN,SYM,"['???????????', '???????????', '????????????', '?????????????', '?????????']"
71,71,lauren,laurens,0.010695187,0.989304813,2,and we liekd kalled up lauren n she sed she was on teh fone with megan then we kalled megan 4 sum shits n giggles and tehn we kalled laurens,21954,12,29,"('and', 'we', 'liekd', 'kalled', 'up', 'lauren', 'n', 'she', 'sed', 'she', 'was', 'on', 'teh', 'fone', 'with', 'megan', 'then', 'we', 'kalled', 'megan', '4', 'sum', 'shits', 'n', 'giggles', 'and', 'tehn', 'we', 'kalled', 'laurens')",187,PROPN,PUNCT,"['her', '.', 'up', 'back', '</s>']"
72,72,distraction,distractions,0.010869565,0,1,Distractions ... distractions all distractions to my destiny.,36580,60,2,"('Distractions', '...', 'distractions', 'all', 'distractions', 'to', 'my', 'destiny', '.')",92,NOUN,CCONJ,"['.', 'and', 'are', 'and', 'but']"
73,73,jim,jims,0.004739336,0.990521327,1,im a whore jims a whore and toms a slag but your not a whore.,3822,8,4,"('i', 'm', 'a', 'whore', 'jims', 'a', 'whore', 'and', 'toms', 'a', 'slag', 'but', 'your', 'not', 'a', 'whore', '.')",211,NOUN,CCONJ,"['and', ',', 'is', 'but', 'not']"
74,74,marten,martens,0.003246753,0.99025974,1,"lol, seriously, you guys are so weird for those who dont know me i am martens hot ^.~.",27729,1,18,"('lol', ',', 'seriously', ',', 'you', 'guys', 'are', 'so', 'weird', 'for', 'those', 'who', 'do', 'nt', 'know', 'me', 'i', 'am', 'martens', 'hot', '^.~.')",308,ADJ,ADV,"['so', 'really', 'pretty', 'very', 'super']"
75,75,familiar,familiar,0.003003003,0.003003003,1,"a story revolving around love, around revenge, around truth and the way things should be... a story with your all to familiar happy ever after.",38637,8,24,"('a', 'story', 'revolving', 'around', 'love', ',', 'around', 'revenge', ',', 'around', 'truth', 'and', 'the', 'way', 'things', 'should', 'be', '...', 'a', 'story', 'with', 'your', 'all', 'to', 'familiar', 'happy', 'ever', 'after', '.')",333,ADJ,DET,"['a', 'be', 'the', 'end', 'have']"
76,76,crowded,crowded,0.011363636,0,1,O_o  campus is way to crowded now.,14529,11,6,"('O_o', ' ', 'campus', 'is', 'way', 'to', 'crowded', 'now', '.')",88,VERB,ADJ,"['big', 'small', 'close', 'far', 'busy']"
77,77,ross,ROSS,0.011363636,0.988636364,1,ROSS AND RACHEL ARE TOGETHER FOREVER!!!!!!!!,23196,12,0,"('ROSS', 'AND', 'RACHEL', 'ARE', 'TOGETHER', 'FOREVER', '!', '!', '!', '!', '!', '!', '!', '!')",88,PROPN,PRON,"['YOU', 'ME', 'I', 'AJ', 'JOHN']"
78,78,patience,patience,0.011428571,0,2,I don't think I have to patience to write a whole book though.,5397,3,7,"('I', 'do', ""n't"", 'think', 'I', 'have', 'to', 'patience', 'to', 'write', 'a', 'whole', 'book', 'though', '.')",175,NOUN,VERB,"['wait', 'try', 'have', 'learn', 'want']"
79,79,patience,Patience,0.011428571,0,2,Patience my child.,18374,31,0,"('Patience', 'my', 'child', '.')",175,VERB,ADP,"['Till', 'Oh', 'For', 'Hej', 'F?r']"
80,80,rachel,rachels,0.006756757,0.989864865,2,grin* rachel  seal   the   sin (9:10:41 PM): like she  seal   the   sin (9:10:48 PM): cuz rachels a nice kid  really?,5336,2,26,"('grin', '*', 'rachel', ' ', 'seal', '  ', 'the', '  ', 'sin', '(', '9:10:41', 'PM', '):', 'like', 'she', ' ', 'seal', '  ', 'the', '  ', 'sin', '(', '9:10:48', 'PM', '):', 'cuz', 'rachels', 'a', 'nice', 'kid', ' ', 'really', '?')",296,NOUN,PRON,"['its', 'she', 'is', 'im', 'your']"
81,81,rachel,rachels,0.006756757,0.989864865,2,well then after my lesson i had to wait for Rachel cause people were there t try Spider (rachels old horse) and then Kate asked me to work her shift (3-end) wich probly earned me bout 5 Dollars!!!!!!!!!!!!,14411,16,19,"('well', 'then', 'after', 'my', 'lesson', 'i', 'had', 'to', 'wait', 'for', 'Rachel', 'cause', 'people', 'were', 'there', 't', 'try', 'Spider', '(', 'rachels', 'old', 'horse', ')', 'and', 'then', 'Kate', 'asked', 'me', 'to', 'work', 'her', 'shift', '(', '3', '-', 'end', ')', 'wich', 'probly', 'earned', 'me', 'bout', '5', 'Dollars', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!')",296,PROPN,DET,"['an', 'the', 'my', 'her', 'the']"
82,82,insight,INSIGHT,0.011627907,0,2,LOL after 15 more mins jo came bak..NOT WITH POPCORN INSIGHT!!!!!!!,3783,18,12,"('LOL', 'after', '15', 'more', 'mins', 'jo', 'came', 'bak', '..', 'NOT', 'WITH', 'POPCORN', 'INSIGHT', '!', '!', '!', '!', '!', '!', '!')",172,NOUN,PUNCT,"['!', '!', '!!', '!!!', '..']"
83,83,insight,insights,0.011627907,0,2,We are setting up this blog as a fast way to get Birkman Method insights up on the web for our clients.,35648,0,14,"('We', 'are', 'setting', 'up', 'this', 'blog', 'as', 'a', 'fast', 'way', 'to', 'get', 'Birkman', 'Method', 'insights', 'up', 'on', 'the', 'web', 'for', 'our', 'clients', '.')",172,NOUN,NOUN,"['s', 'information', 'Information', 'Training', 'info']"
84,84,jimmy,jimmying,0.003401361,0.989795918,1,i should write out a hundred times: 'never again will i harass my students for jimmying their fonts and margins'!,17818,2,17,"('i', 'should', 'write', 'out', 'a', 'hundred', 'times', ':', ""'"", 'never', 'again', 'will', 'i', 'harass', 'my', 'students', 'for', 'jimmying', 'their', 'fonts', 'and', 'margins', ""'"", '!')",294,VERB,VERB,"['changing', 'using', 'choosing', 'reading', 'checking']"
85,85,difference,difference,0.002631579,0.007894737,2,There is a gender divide and difference no doubt.,18150,39,6,"('There', 'is', 'a', 'gender', 'divide', 'and', 'difference', 'no', 'doubt', '.')",760,NOUN,NOUN,"['race', 'there', 'that', 'conflict', 'division']"
86,86,difference,difference,0.002631579,0.007894737,2,"Those few are the ones that difference us from ants, they don't walk in one direction and fuck everyone who is on their way.",32620,16,6,"('Those', 'few', 'are', 'the', 'ones', 'that', 'difference', 'us', 'from', 'ants', ',', 'they', 'do', ""n't"", 'walk', 'in', 'one', 'direction', 'and', 'fuck', 'everyone', 'who', 'is', 'on', 'their', 'way', '.')",760,VERB,VERB,"['protect', 'save', 'separate', 'keep', 'tell']"
87,87,instance,instances,0.003508772,0.007017544,1,"Interestingly, considering today's accounts of life under slavery, authors Johnson and Roak report instances where free Negroes petitioned to be allowed to become slaves; this because they were unable to support themselves.",9805,69,16,"('Interestingly', ',', 'considering', 'today', ""'s"", 'accounts', 'of', 'life', 'under', 'slavery', ',', 'authors', 'Johnson', 'and', 'Roak', 'report', 'instances', 'where', 'free', 'Negroes', 'petitioned', 'to', 'be', 'allowed', 'to', 'become', 'slaves', ';', 'this', 'because', 'they', 'were', 'unable', 'to', 'support', 'themselves', '.')",285,NOUN,NOUN,"['cases', 'situations', 'places', 'stories', 'events']"
88,88,complicated,complicated,0.005208333,0.005208333,1,Way to complicated for me.,6139,3,2,"('Way', 'to', 'complicated', 'for', 'me', '.')",192,ADJ,ADV,"['late', 'much', 'good', 'cute', 'long']"
89,89,preference,preferences,0.012195122,0,1,* made the tabs in the preferences XP correctly themed under Windows XP * revamped the Media Library preferences a bit * new experimental WMA9 input plugin * gen_jumpex updates from DrO * added 'Nuke library' action in Media Library * more upside down videos fixes * fixed crash if a plugin generated a pledit wm_windowposchanged on shutdown * fixed crash exploit in in_mod (thanks Peter Winter-Smith) *,35691,1,18,"('*', 'made', 'the', 'tabs', 'in', 'the', 'preferences', 'XP', 'correctly', 'themed', 'under', 'Windows', 'XP', '*', 'revamped', 'the', 'Media', 'Library', 'preferences', 'a', 'bit', '*', 'new', 'experimental', 'WMA9', 'input', 'plugin', '*', 'gen_jumpex', 'updates', 'from', 'DrO', '*', 'added', ""'"", 'Nuke', 'library', ""'"", 'action', 'in', 'Media', 'Library', '*', 'more', 'upside', 'down', 'videos', 'fixes', '*', 'fixed', 'crash', 'if', 'a', 'plugin', 'generated', 'a', 'pledit', 'wm_windowposchanged', 'on', 'shutdown', '*', 'fixed', 'crash', 'exploit', 'in', 'in_mod', '(', 'thanks', 'Peter', 'Winter', '-', 'Smith', ')', '*')",82,NOUN,NOUN,"['quite', 'interface', 'just', 'layout', 'design']"
90,90,consequence,consequences,0.005291005,0.005291005,1,The 3 products mentioned are the addends of my life equation which consequences to my answer.,26954,31,12,"('The', '3', 'products', 'mentioned', 'are', 'the', 'addends', 'of', 'my', 'life', 'equation', 'which', 'consequences', 'to', 'my', 'answer', '.')",189,VERB,VERB,"['lead', 'led', 'contribute', 'add', 'points']"
91,91,sequence,sequenced,0.012345679,0,1,"Contains sequence for practically every organism that has any DNA sequenced, protein sequences, scientific journal references, etc.",29060,21,10,"('Contains', 'sequence', 'for', 'practically', 'every', 'organism', 'that', 'has', 'any', 'DNA', 'sequenced', ',', 'protein', 'sequences', ',', 'scientific', 'journal', 'references', ',', 'etc', '.')",81,VERB,NOUN,"['structure', 'changes', 'code', 'variation', 'type']"
92,92,horrible,HORRIBLE,0.002985075,0.005970149,2,"[1:35 AM]: You do not understand, he has HORRIBLE peer pressure problems  Zik495",31751,2473,12,"('[', '1:35', 'AM', ']', ':', 'You', 'do', 'not', 'understand', ',', 'he', 'has', 'HORRIBLE', 'peer', 'pressure', 'problems', ' ', 'Zik495')",670,ADJ,DET,"['no', 'some', 'serious', 'had', 'got']"
93,93,horrible,HORRIBLE,0.002985075,0.005970149,2,we were going to go down to LA but then decided not to- mostly because the traffic would have been HORRIBLE going down and up!,37145,3,20,"('we', 'were', 'going', 'to', 'go', 'down', 'to', 'LA', 'but', 'then', 'decided', 'not', 'to-', 'mostly', 'because', 'the', 'traffic', 'would', 'have', 'been', 'HORRIBLE', 'going', 'down', 'and', 'up', '!')",670,ADJ,ADJ,"['crazy', 'heavy', 'terrible', 'horrible', 'huge']"
94,94,huge,huge,0.00083682,0.010041841,1,At night we seat at that tree and he huge me so tightly n said the sweet word... ',25438,37,9,"('At', 'night', 'we', 'seat', 'at', 'that', 'tree', 'and', 'he', 'huge', 'me', 'so', 'tightly', 'n', 'said', 'the', 'sweet', 'word', '...', ""'"")",1195,VERB,VERB,"['held', 'hold', 'hug', 'took', 'pulled']"
95,95,melbourne,melbourne,0.013157895,0.986842105,1,"*grumble* stupid thing...  anyway, won't be here a while, going to melbourne for the week, from tomorrow.",15991,3,18,"('*', 'grumble', '*', 'stupid', 'thing', '...', ' ', 'anyway', ',', 'wo', ""n't"", 'be', 'here', 'a', 'while', ',', 'going', 'to', 'melbourne', 'for', 'the', 'week', ',', 'from', 'tomorrow', '.')",76,PROPN,NOUN,"['work', 'school', 'London', 'college', 'camp']"
96,96,full,full,0.001417769,0.008034026,3,I dont want to be forced into a decision I dont think I can full heartily make.,1039,7,16,"('I', 'do', 'nt', 'want', 'to', 'be', 'forced', 'into', 'a', 'decision', 'I', 'do', 'nt', 'think', 'I', 'can', 'full', 'heartily', 'make', '.')",2116,ADV,ADV,"['fully', 'self', 'so', 'even', 'very']"
97,97,full,fulled,0.001417769,0.008034026,3,Why is everything so fulled up wif problems.,34720,0,4,"('Why', 'is', 'everything', 'so', 'fulled', 'up', 'wif', 'problems', '.')",2116,VERB,VERB,"['tied', 'made', 'set', 'fucked', 'filled']"
98,98,full,fulling,0.001417769,0.008034026,3,"I am trying my hand at fulling/felting, so will be starting with a Boojabag, and then one pair of Fuzzyfeet (Knitty.com).",30602,3,6,"('I', 'am', 'trying', 'my', 'hand', 'at', 'fulling', '/', 'felting', ',', 'so', 'will', 'be', 'starting', 'with', 'a', 'Boojabag', ',', 'and', 'then', 'one', 'pair', 'of', 'Fuzzyfeet', '(', 'Knitty.com', ')', '.')",2116,VERB,NOUN,"['making', 'pattern', 'batik', 'felt', 'appliqu?']"
99,99,nose,nosing,0.002415459,0.009661836,1,"From the people who cut you off while driving, to the people who flip you off for only driving 30 MPH above the speed limit, to the idiot at the major league baseball game who stole the foul ball from a 4 year old boy, to the spineless, brown-nosing, boss who targeted his employee for termination before he even realized what his job was; just because his boss wanted it to happen.",28874,2,54,"('From', 'the', 'people', 'who', 'cut', 'you', 'off', 'while', 'driving', ',', 'to', 'the', 'people', 'who', 'flip', 'you', 'off', 'for', 'only', 'driving', '30', 'MPH', 'above', 'the', 'speed', 'limit', ',', 'to', 'the', 'idiot', 'at', 'the', 'major', 'league', 'baseball', 'game', 'who', 'stole', 'the', 'foul', 'ball', 'from', 'a', '4', 'year', 'old', 'boy', ',', 'to', 'the', 'spineless', ',', 'brown', '-', 'nosing', ',', 'boss', 'who', 'targeted', 'his', 'employee', 'for', 'termination', 'before', 'he', 'even', 'realized', 'what', 'his', 'job', 'was', ';', 'just', 'because', 'his', 'boss', 'wanted', 'it', 'to', 'happen', '.')",414,NOUN,NOUN,"['hair', 'head', 'eyes', 'ish', 'hair']"
